window_id,chrom,start,end,split,region_id,label_name,sample_id,condition,replicate,structure_id
WT_rep1__pos_3029670_24000,NC_000913.3,3029670,3053670,train,322,OPCID,WT_rep1,WT,1,OPCID_51
WT_rep1__pos_3036625_24000,NC_000913.3,3036625,3060625,train,323,OPCID,WT_rep1,WT,1,OPCID_52
WT_rep1__pos_3262080_24000,NC_000913.3,3262080,3286080,train,324,OPCID,WT_rep1,WT,1,OPCID_53
WT_rep1__pos_3368450_24000,NC_000913.3,3368450,3392450,train,325,OPCID,WT_rep1,WT,1,OPCID_54
WT_rep1__pos_3432155_24000,NC_000913.3,3432155,3456155,train,326,OPCID,WT_rep1,WT,1,OPCID_55
WT_rep1__pos_3538190_24000,NC_000913.3,3538190,3562190,train,327,OPCID,WT_rep1,WT,1,OPCID_56
WT_rep1__pos_3542600_24000,NC_000913.3,3542600,3566600,train,328,OPCID,WT_rep1,WT,1,OPCID_57
WT_rep1__pos_3628905_24000,NC_000913.3,3628905,3652905,train,329,OPCID,WT_rep1,WT,1,OPCID_58
WT_rep1__pos_3725655_24000,NC_000913.3,3725655,3749655,train,330,OPCID,WT_rep1,WT,1,OPCID_59
WT_rep1__pos_3854740_24000,NC_000913.3,3854740,3878740,test,332,OPCID,WT_rep1,WT,1,OPCID_60
WT_rep1__pos_3907190_24000,NC_000913.3,3907190,3931190,val,333,OPCID,WT_rep1,WT,1,OPCID_61
WT_rep1__pos_3982520_24000,NC_000913.3,3982520,4006520,train,334,OPCID,WT_rep1,WT,1,OPCID_62
WT_rep1__pos_4009825_24000,NC_000913.3,4009825,4033825,train,335,OPCID,WT_rep1,WT,1,OPCID_63
WT_rep1__pos_4105900_24000,NC_000913.3,4105900,4129900,train,336,OPCID,WT_rep1,WT,1,OPCID_64
WT_rep1__pos_4244135_24000,NC_000913.3,4244135,4268135,train,337,OPCID,WT_rep1,WT,1,OPCID_65
WT_rep1__pos_4267295_24000,NC_000913.3,4267295,4291295,train,338,OPCID,WT_rep1,WT,1,OPCID_66
WT_rep1__pos_4472420_24000,NC_000913.3,4472420,4496420,train,339,OPCID,WT_rep1,WT,1,OPCID_67
WT_rep1__pos_4573100_24000,NC_000913.3,4573100,4597100,train,340,OPCID,WT_rep1,WT,1,OPCID_68
WT_rep1__pos_0046840_24000,NC_000913.3,46840,70840,test,26,CHIN,WT_rep1,WT,1,CHIN_1
WT_rep1__pos_0072660_24000,NC_000913.3,72660,96660,train,137,CHIN,WT_rep1,WT,1,CHIN_2
WT_rep1__pos_0139330_24000,NC_000913.3,139330,163330,test,199,CHIN,WT_rep1,WT,1,CHIN_3
WT_rep1__pos_0139800_24000,NC_000913.3,139800,163800,test,210,CHIN,WT_rep1,WT,1,CHIN_4
WT_rep1__pos_0140340_24000,NC_000913.3,140340,164340,test,221,CHIN,WT_rep1,WT,1,CHIN_5
WT_rep1__pos_0142620_24000,NC_000913.3,142620,166620,test,232,CHIN,WT_rep1,WT,1,CHIN_6
WT_rep1__pos_0144730_24000,NC_000913.3,144730,168730,test,243,CHIN,WT_rep1,WT,1,CHIN_7
WT_rep1__pos_0168380_24000,NC_000913.3,168380,192380,test,254,CHIN,WT_rep1,WT,1,CHIN_8
WT_rep1__pos_0225970_24000,NC_000913.3,225970,249970,train,265,CHIN,WT_rep1,WT,1,CHIN_9
WT_rep1__pos_0241060_24000,NC_000913.3,241060,265060,train,27,CHIN,WT_rep1,WT,1,CHIN_10
WT_rep1__pos_0244400_24000,NC_000913.3,244400,268400,train,38,CHIN,WT_rep1,WT,1,CHIN_11
WT_rep1__pos_0247590_24000,NC_000913.3,247590,271590,train,49,CHIN,WT_rep1,WT,1,CHIN_12
WT_rep1__pos_0250940_24000,NC_000913.3,250940,274940,train,60,CHIN,WT_rep1,WT,1,CHIN_13
WT_rep1__pos_0281940_24000,NC_000913.3,281940,305940,train,71,CHIN,WT_rep1,WT,1,CHIN_14
WT_rep1__pos_0283670_24000,NC_000913.3,283670,307670,train,82,CHIN,WT_rep1,WT,1,CHIN_15
WT_rep1__pos_0285230_24000,NC_000913.3,285230,309230,train,93,CHIN,WT_rep1,WT,1,CHIN_16
WT_rep1__pos_0291370_24000,NC_000913.3,291370,315370,train,104,CHIN,WT_rep1,WT,1,CHIN_17
WT_rep1__pos_0301510_24000,NC_000913.3,301510,325510,train,115,CHIN,WT_rep1,WT,1,CHIN_18
WT_rep1__pos_0307130_24000,NC_000913.3,307130,331130,train,126,CHIN,WT_rep1,WT,1,CHIN_19
WT_rep1__pos_0324060_24000,NC_000913.3,324060,348060,train,138,CHIN,WT_rep1,WT,1,CHIN_20
WT_rep1__pos_0332510_24000,NC_000913.3,332510,356510,train,149,CHIN,WT_rep1,WT,1,CHIN_21
WT_rep1__pos_0420280_24000,NC_000913.3,420280,444280,train,160,CHIN,WT_rep1,WT,1,CHIN_22
WT_rep1__pos_0468640_24000,NC_000913.3,468640,492640,train,171,CHIN,WT_rep1,WT,1,CHIN_23
WT_rep1__pos_0504310_24000,NC_000913.3,504310,528310,val,182,CHIN,WT_rep1,WT,1,CHIN_24
WT_rep1__pos_0516090_24000,NC_000913.3,516090,540090,val,193,CHIN,WT_rep1,WT,1,CHIN_25
WT_rep1__pos_0525030_24000,NC_000913.3,525030,549030,val,195,CHIN,WT_rep1,WT,1,CHIN_26
WT_rep1__pos_0526330_24000,NC_000913.3,526330,550330,val,196,CHIN,WT_rep1,WT,1,CHIN_27
WT_rep1__pos_0533940_24000,NC_000913.3,533940,557940,val,197,CHIN,WT_rep1,WT,1,CHIN_28
WT_rep1__pos_0547250_24000,NC_000913.3,547250,571250,val,198,CHIN,WT_rep1,WT,1,CHIN_29
WT_rep1__pos_0547700_24000,NC_000913.3,547700,571700,val,200,CHIN,WT_rep1,WT,1,CHIN_30
WT_rep1__pos_0551390_24000,NC_000913.3,551390,575390,val,201,CHIN,WT_rep1,WT,1,CHIN_31
WT_rep1__pos_0554470_24000,NC_000913.3,554470,578470,val,202,CHIN,WT_rep1,WT,1,CHIN_32
WT_rep1__pos_0557490_24000,NC_000913.3,557490,581490,val,203,CHIN,WT_rep1,WT,1,CHIN_33
WT_rep1__pos_0558950_24000,NC_000913.3,558950,582950,val,204,CHIN,WT_rep1,WT,1,CHIN_34
WT_rep1__pos_0559570_24000,NC_000913.3,559570,583570,val,205,CHIN,WT_rep1,WT,1,CHIN_35
WT_rep1__pos_0572340_24000,NC_000913.3,572340,596340,val,206,CHIN,WT_rep1,WT,1,CHIN_36
WT_rep1__pos_0606620_24000,NC_000913.3,606620,630620,test,207,CHIN,WT_rep1,WT,1,CHIN_37
WT_rep1__pos_0625220_24000,NC_000913.3,625220,649220,test,208,CHIN,WT_rep1,WT,1,CHIN_38
WT_rep1__pos_0644290_24000,NC_000913.3,644290,668290,test,209,CHIN,WT_rep1,WT,1,CHIN_39
WT_rep1__pos_0649540_24000,NC_000913.3,649540,673540,test,211,CHIN,WT_rep1,WT,1,CHIN_40
WT_rep1__pos_0664920_24000,NC_000913.3,664920,688920,test,212,CHIN,WT_rep1,WT,1,CHIN_41
WT_rep1__pos_0666270_24000,NC_000913.3,666270,690270,test,213,CHIN,WT_rep1,WT,1,CHIN_42
WT_rep1__pos_0704370_24000,NC_000913.3,704370,728370,val,214,CHIN,WT_rep1,WT,1,CHIN_43
WT_rep1__pos_0708720_24000,NC_000913.3,708720,732720,val,215,CHIN,WT_rep1,WT,1,CHIN_44
WT_rep1__pos_0722700_24000,NC_000913.3,722700,746700,val,216,CHIN,WT_rep1,WT,1,CHIN_45
WT_rep1__pos_0725380_24000,NC_000913.3,725380,749380,val,217,CHIN,WT_rep1,WT,1,CHIN_46
WT_rep1__pos_0736820_24000,NC_000913.3,736820,760820,val,218,CHIN,WT_rep1,WT,1,CHIN_47
WT_rep1__pos_0740470_24000,NC_000913.3,740470,764470,val,219,CHIN,WT_rep1,WT,1,CHIN_48
WT_rep1__pos_0789100_24000,NC_000913.3,789100,813100,train,220,CHIN,WT_rep1,WT,1,CHIN_49
WT_rep1__pos_0809020_24000,NC_000913.3,809020,833020,train,222,CHIN,WT_rep1,WT,1,CHIN_50
WT_rep1__pos_0862680_24000,NC_000913.3,862680,886680,train,223,CHIN,WT_rep1,WT,1,CHIN_51
WT_rep1__pos_0986190_24000,NC_000913.3,986190,1010190,train,224,CHIN,WT_rep1,WT,1,CHIN_52
WT_rep1__pos_0987020_24000,NC_000913.3,987020,1011020,train,225,CHIN,WT_rep1,WT,1,CHIN_53
WT_rep1__pos_1038110_24000,NC_000913.3,1038110,1062110,train,226,CHIN,WT_rep1,WT,1,CHIN_54
WT_rep1__pos_1039660_24000,NC_000913.3,1039660,1063660,train,227,CHIN,WT_rep1,WT,1,CHIN_55
WT_rep1__pos_1052940_24000,NC_000913.3,1052940,1076940,train,228,CHIN,WT_rep1,WT,1,CHIN_56
WT_rep1__pos_1075640_24000,NC_000913.3,1075640,1099640,train,229,CHIN,WT_rep1,WT,1,CHIN_57
WT_rep1__pos_1076450_24000,NC_000913.3,1076450,1100450,train,230,CHIN,WT_rep1,WT,1,CHIN_58
WT_rep1__pos_1078080_24000,NC_000913.3,1078080,1102080,train,231,CHIN,WT_rep1,WT,1,CHIN_59
WT_rep1__pos_1080530_24000,NC_000913.3,1080530,1104530,train,233,CHIN,WT_rep1,WT,1,CHIN_60
WT_rep1__pos_1082720_24000,NC_000913.3,1082720,1106720,train,234,CHIN,WT_rep1,WT,1,CHIN_61
WT_rep1__pos_1090680_24000,NC_000913.3,1090680,1114680,train,235,CHIN,WT_rep1,WT,1,CHIN_62
WT_rep1__pos_1092700_24000,NC_000913.3,1092700,1116700,train,236,CHIN,WT_rep1,WT,1,CHIN_63
WT_rep1__pos_1106630_24000,NC_000913.3,1106630,1130630,train,237,CHIN,WT_rep1,WT,1,CHIN_64
WT_rep1__pos_1108190_24000,NC_000913.3,1108190,1132190,train,238,CHIN,WT_rep1,WT,1,CHIN_65
WT_rep1__pos_1169130_24000,NC_000913.3,1169130,1193130,train,239,CHIN,WT_rep1,WT,1,CHIN_66
WT_rep1__pos_1186500_24000,NC_000913.3,1186500,1210500,train,240,CHIN,WT_rep1,WT,1,CHIN_67
WT_rep1__pos_1186940_24000,NC_000913.3,1186940,1210940,train,241,CHIN,WT_rep1,WT,1,CHIN_68
WT_rep1__pos_1190600_24000,NC_000913.3,1190600,1214600,train,242,CHIN,WT_rep1,WT,1,CHIN_69
WT_rep1__pos_1199390_24000,NC_000913.3,1199390,1223390,train,244,CHIN,WT_rep1,WT,1,CHIN_70
WT_rep1__pos_1203720_24000,NC_000913.3,1203720,1227720,train,245,CHIN,WT_rep1,WT,1,CHIN_71
WT_rep1__pos_1205410_24000,NC_000913.3,1205410,1229410,train,246,CHIN,WT_rep1,WT,1,CHIN_72
WT_rep1__pos_1206490_24000,NC_000913.3,1206490,1230490,train,247,CHIN,WT_rep1,WT,1,CHIN_73
WT_rep1__pos_1207170_24000,NC_000913.3,1207170,1231170,train,248,CHIN,WT_rep1,WT,1,CHIN_74
WT_rep1__pos_1208140_24000,NC_000913.3,1208140,1232140,train,249,CHIN,WT_rep1,WT,1,CHIN_75
WT_rep1__pos_1217860_24000,NC_000913.3,1217860,1241860,train,250,CHIN,WT_rep1,WT,1,CHIN_76
WT_rep1__pos_1303530_24000,NC_000913.3,1303530,1327530,val,251,CHIN,WT_rep1,WT,1,CHIN_77
WT_rep1__pos_1359090_24000,NC_000913.3,1359090,1383090,train,252,CHIN,WT_rep1,WT,1,CHIN_78
WT_rep1__pos_1370580_24000,NC_000913.3,1370580,1394580,train,253,CHIN,WT_rep1,WT,1,CHIN_79
WT_rep1__pos_1383060_24000,NC_000913.3,1383060,1407060,train,255,CHIN,WT_rep1,WT,1,CHIN_80
WT_rep1__pos_1399910_24000,NC_000913.3,1399910,1423910,train,256,CHIN,WT_rep1,WT,1,CHIN_81
WT_rep1__pos_1401340_24000,NC_000913.3,1401340,1425340,train,257,CHIN,WT_rep1,WT,1,CHIN_82
WT_rep1__pos_1406360_24000,NC_000913.3,1406360,1430360,train,258,CHIN,WT_rep1,WT,1,CHIN_83
WT_rep1__pos_1408000_24000,NC_000913.3,1408000,1432000,train,259,CHIN,WT_rep1,WT,1,CHIN_84
WT_rep1__pos_1464340_24000,NC_000913.3,1464340,1488340,train,260,CHIN,WT_rep1,WT,1,CHIN_85
WT_rep1__pos_1465500_24000,NC_000913.3,1465500,1489500,train,261,CHIN,WT_rep1,WT,1,CHIN_86
WT_rep1__pos_1508650_24000,NC_000913.3,1508650,1532650,test,262,CHIN,WT_rep1,WT,1,CHIN_87
WT_rep1__pos_1516670_24000,NC_000913.3,1516670,1540670,test,263,CHIN,WT_rep1,WT,1,CHIN_88
WT_rep1__pos_1519080_24000,NC_000913.3,1519080,1543080,test,264,CHIN,WT_rep1,WT,1,CHIN_89
WT_rep1__pos_1554940_24000,NC_000913.3,1554940,1578940,test,266,CHIN,WT_rep1,WT,1,CHIN_90
WT_rep1__pos_1564120_24000,NC_000913.3,1564120,1588120,test,267,CHIN,WT_rep1,WT,1,CHIN_91
WT_rep1__pos_1567440_24000,NC_000913.3,1567440,1591440,test,268,CHIN,WT_rep1,WT,1,CHIN_92
WT_rep1__pos_1570740_24000,NC_000913.3,1570740,1594740,test,269,CHIN,WT_rep1,WT,1,CHIN_93
WT_rep1__pos_1576270_24000,NC_000913.3,1576270,1600270,test,270,CHIN,WT_rep1,WT,1,CHIN_94
WT_rep1__pos_1585450_24000,NC_000913.3,1585450,1609450,test,271,CHIN,WT_rep1,WT,1,CHIN_95
WT_rep1__pos_1604220_24000,NC_000913.3,1604220,1628220,test,272,CHIN,WT_rep1,WT,1,CHIN_96
WT_rep1__pos_1619780_24000,NC_000913.3,1619780,1643780,test,273,CHIN,WT_rep1,WT,1,CHIN_97
WT_rep1__pos_1626030_24000,NC_000913.3,1626030,1650030,test,274,CHIN,WT_rep1,WT,1,CHIN_98
WT_rep1__pos_1636130_24000,NC_000913.3,1636130,1660130,test,275,CHIN,WT_rep1,WT,1,CHIN_99
WT_rep1__pos_1742330_24000,NC_000913.3,1742330,1766330,train,28,CHIN,WT_rep1,WT,1,CHIN_100
WT_rep1__pos_1760920_24000,NC_000913.3,1760920,1784920,train,29,CHIN,WT_rep1,WT,1,CHIN_101
WT_rep1__pos_1764220_24000,NC_000913.3,1764220,1788220,train,30,CHIN,WT_rep1,WT,1,CHIN_102
WT_rep1__pos_1791960_24000,NC_000913.3,1791960,1815960,test,31,CHIN,WT_rep1,WT,1,CHIN_103
WT_rep1__pos_1832500_24000,NC_000913.3,1832500,1856500,train,32,CHIN,WT_rep1,WT,1,CHIN_104
WT_rep1__pos_1841600_24000,NC_000913.3,1841600,1865600,train,33,CHIN,WT_rep1,WT,1,CHIN_105
WT_rep1__pos_1845300_24000,NC_000913.3,1845300,1869300,train,34,CHIN,WT_rep1,WT,1,CHIN_106
WT_rep1__pos_1858970_24000,NC_000913.3,1858970,1882970,train,35,CHIN,WT_rep1,WT,1,CHIN_107
WT_rep1__pos_1859900_24000,NC_000913.3,1859900,1883900,train,36,CHIN,WT_rep1,WT,1,CHIN_108
WT_rep1__pos_1999690_24000,NC_000913.3,1999690,2023690,test,37,CHIN,WT_rep1,WT,1,CHIN_109
WT_rep1__pos_2012070_24000,NC_000913.3,2012070,2036070,test,39,CHIN,WT_rep1,WT,1,CHIN_110
WT_rep1__pos_2024560_24000,NC_000913.3,2024560,2048560,test,40,CHIN,WT_rep1,WT,1,CHIN_111
WT_rep1__pos_2040880_24000,NC_000913.3,2040880,2064880,test,41,CHIN,WT_rep1,WT,1,CHIN_112
WT_rep1__pos_2045090_24000,NC_000913.3,2045090,2069090,test,42,CHIN,WT_rep1,WT,1,CHIN_113
WT_rep1__pos_2091680_24000,NC_000913.3,2091680,2115680,val,43,CHIN,WT_rep1,WT,1,CHIN_114
WT_rep1__pos_2092430_24000,NC_000913.3,2092430,2116430,val,44,CHIN,WT_rep1,WT,1,CHIN_115
WT_rep1__pos_2092690_24000,NC_000913.3,2092690,2116690,val,45,CHIN,WT_rep1,WT,1,CHIN_116
WT_rep1__pos_2093690_24000,NC_000913.3,2093690,2117690,val,46,CHIN,WT_rep1,WT,1,CHIN_117
WT_rep1__pos_2094520_24000,NC_000913.3,2094520,2118520,val,47,CHIN,WT_rep1,WT,1,CHIN_118
WT_rep1__pos_2094930_24000,NC_000913.3,2094930,2118930,val,48,CHIN,WT_rep1,WT,1,CHIN_119
WT_rep1__pos_2095810_24000,NC_000913.3,2095810,2119810,val,50,CHIN,WT_rep1,WT,1,CHIN_120
WT_rep1__pos_2097850_24000,NC_000913.3,2097850,2121850,val,51,CHIN,WT_rep1,WT,1,CHIN_121
WT_rep1__pos_2102690_24000,NC_000913.3,2102690,2126690,val,52,CHIN,WT_rep1,WT,1,CHIN_122
WT_rep1__pos_2117530_24000,NC_000913.3,2117530,2141530,val,53,CHIN,WT_rep1,WT,1,CHIN_123
WT_rep1__pos_2156950_24000,NC_000913.3,2156950,2180950,train,54,CHIN,WT_rep1,WT,1,CHIN_124
WT_rep1__pos_2159360_24000,NC_000913.3,2159360,2183360,train,55,CHIN,WT_rep1,WT,1,CHIN_125
WT_rep1__pos_2161660_24000,NC_000913.3,2161660,2185660,train,56,CHIN,WT_rep1,WT,1,CHIN_126
WT_rep1__pos_2167170_24000,NC_000913.3,2167170,2191170,train,57,CHIN,WT_rep1,WT,1,CHIN_127
WT_rep1__pos_2176070_24000,NC_000913.3,2176070,2200070,train,58,CHIN,WT_rep1,WT,1,CHIN_128
WT_rep1__pos_2176940_24000,NC_000913.3,2176940,2200940,train,59,CHIN,WT_rep1,WT,1,CHIN_129
WT_rep1__pos_2178070_24000,NC_000913.3,2178070,2202070,train,61,CHIN,WT_rep1,WT,1,CHIN_130
WT_rep1__pos_2179390_24000,NC_000913.3,2179390,2203390,train,62,CHIN,WT_rep1,WT,1,CHIN_131
WT_rep1__pos_2221620_24000,NC_000913.3,2221620,2245620,train,63,CHIN,WT_rep1,WT,1,CHIN_132
WT_rep1__pos_2226520_24000,NC_000913.3,2226520,2250520,train,64,CHIN,WT_rep1,WT,1,CHIN_133
WT_rep1__pos_2243470_24000,NC_000913.3,2243470,2267470,train,65,CHIN,WT_rep1,WT,1,CHIN_134
WT_rep1__pos_2246650_24000,NC_000913.3,2246650,2270650,train,66,CHIN,WT_rep1,WT,1,CHIN_135
WT_rep1__pos_2332010_24000,NC_000913.3,2332010,2356010,train,67,CHIN,WT_rep1,WT,1,CHIN_136
WT_rep1__pos_2372140_24000,NC_000913.3,2372140,2396140,val,68,CHIN,WT_rep1,WT,1,CHIN_137
WT_rep1__pos_2374390_24000,NC_000913.3,2374390,2398390,val,69,CHIN,WT_rep1,WT,1,CHIN_138
WT_rep1__pos_2375300_24000,NC_000913.3,2375300,2399300,val,70,CHIN,WT_rep1,WT,1,CHIN_139
WT_rep1__pos_2443490_24000,NC_000913.3,2443490,2467490,train,72,CHIN,WT_rep1,WT,1,CHIN_140
WT_rep1__pos_2451480_24000,NC_000913.3,2451480,2475480,train,73,CHIN,WT_rep1,WT,1,CHIN_141
WT_rep1__pos_2470340_24000,NC_000913.3,2470340,2494340,train,74,CHIN,WT_rep1,WT,1,CHIN_142
WT_rep1__pos_2471880_24000,NC_000913.3,2471880,2495880,train,75,CHIN,WT_rep1,WT,1,CHIN_143
WT_rep1__pos_2472510_24000,NC_000913.3,2472510,2496510,train,76,CHIN,WT_rep1,WT,1,CHIN_144
WT_rep1__pos_2474740_24000,NC_000913.3,2474740,2498740,train,77,CHIN,WT_rep1,WT,1,CHIN_145
WT_rep1__pos_2477490_24000,NC_000913.3,2477490,2501490,train,78,CHIN,WT_rep1,WT,1,CHIN_146
WT_rep1__pos_2480890_24000,NC_000913.3,2480890,2504890,train,79,CHIN,WT_rep1,WT,1,CHIN_147
WT_rep1__pos_2617410_24000,NC_000913.3,2617410,2641410,train,80,CHIN,WT_rep1,WT,1,CHIN_148
WT_rep1__pos_2641750_24000,NC_000913.3,2641750,2665750,train,81,CHIN,WT_rep1,WT,1,CHIN_149
WT_rep1__pos_2688290_24000,NC_000913.3,2688290,2712290,val,83,CHIN,WT_rep1,WT,1,CHIN_150
WT_rep1__pos_2746590_24000,NC_000913.3,2746590,2770590,train,84,CHIN,WT_rep1,WT,1,CHIN_151
WT_rep1__pos_2747520_24000,NC_000913.3,2747520,2771520,train,85,CHIN,WT_rep1,WT,1,CHIN_152
WT_rep1__pos_2762270_24000,NC_000913.3,2762270,2786270,train,86,CHIN,WT_rep1,WT,1,CHIN_153
WT_rep1__pos_2771470_24000,NC_000913.3,2771470,2795470,train,87,CHIN,WT_rep1,WT,1,CHIN_154
WT_rep1__pos_2773360_24000,NC_000913.3,2773360,2797360,train,88,CHIN,WT_rep1,WT,1,CHIN_155
WT_rep1__pos_2774760_24000,NC_000913.3,2774760,2798760,train,89,CHIN,WT_rep1,WT,1,CHIN_156
WT_rep1__pos_2776030_24000,NC_000913.3,2776030,2800030,train,90,CHIN,WT_rep1,WT,1,CHIN_157
WT_rep1__pos_2786070_24000,NC_000913.3,2786070,2810070,train,91,CHIN,WT_rep1,WT,1,CHIN_158
WT_rep1__pos_2793050_24000,NC_000913.3,2793050,2817050,train,92,CHIN,WT_rep1,WT,1,CHIN_159
WT_rep1__pos_2871680_24000,NC_000913.3,2871680,2895680,train,94,CHIN,WT_rep1,WT,1,CHIN_160
WT_rep1__pos_2888070_24000,NC_000913.3,2888070,2912070,train,95,CHIN,WT_rep1,WT,1,CHIN_161
WT_rep1__pos_2892980_24000,NC_000913.3,2892980,2916980,train,96,CHIN,WT_rep1,WT,1,CHIN_162
