window_id,chrom,start,end,center,length_bp,segments,sample_id,condition,replicate,known_overlap,known_structure_ids,known_types,valid_pixel_fraction,intensity_score,reconstruction_error,candidate_threshold,is_candidate,latent_row,score_rank
WT_rep1__scan_4175000,NC_000913.3,4163000,4187000,4175000,24000,"[{""start"":4163000,""end"":4187000}]",WT_rep1,WT,1,False,,,0.67254638671875,0.10661634569353352,0.05197196,0.04633597284555435,True,4175,25
WT_rep1__scan_4171000,NC_000913.3,4159000,4183000,4171000,24000,"[{""start"":4159000,""end"":4183000}]",WT_rep1,WT,1,False,,,0.64739990234375,0.0992428896556896,0.05193615,0.04633597284555435,True,4171,26
WT_rep1__scan_4250000,NC_000913.3,4238000,4262000,4250000,24000,"[{""start"":4238000,""end"":4262000}]",WT_rep1,WT,1,True,CHIN_226;OPCID_65;CHIN_227,CHIN;OPCID,1.0,0.13125919087593815,0.051752605,0.04633597284555435,True,4250,27
WT_rep1__scan_3267000,NC_000913.3,3255000,3279000,3267000,24000,"[{""start"":3255000,""end"":3279000}]",WT_rep1,WT,1,True,CHIN_179;CHIN_180;CHIN_181;OPCID_53,CHIN;OPCID,1.0,0.10527027580241519,0.051176853,0.04633597284555435,True,3267,28
WT_rep1__scan_3269000,NC_000913.3,3257000,3281000,3269000,24000,"[{""start"":3257000,""end"":3281000}]",WT_rep1,WT,1,True,CHIN_179;CHIN_180;CHIN_181;OPCID_53,CHIN;OPCID,1.0,0.1056227374298763,0.050959863,0.04633597284555435,True,3269,29
WT_rep1__scan_0117000,NC_000913.3,105000,129000,117000,24000,"[{""start"":105000,""end"":129000}]",WT_rep1,WT,1,True,OPCID_3;OPCID_4,OPCID,1.0,0.09482825701079504,0.050907724,0.04633597284555435,True,117,30
WT_rep1__scan_0118000,NC_000913.3,106000,130000,118000,24000,"[{""start"":106000,""end"":130000}]",WT_rep1,WT,1,True,OPCID_3;OPCID_4,OPCID,1.0,0.09499299756398702,0.050282385,0.04633597284555435,True,118,31
WT_rep1__scan_2393000,NC_000913.3,2381000,2405000,2393000,24000,"[{""start"":2381000,""end"":2405000}]",WT_rep1,WT,1,True,CHID_13;CHIN_137;CHIN_138;CHIN_139;OPCID_34;OPCID_35,CHID;CHIN;OPCID,1.0,0.10539993089324999,0.050082248,0.04633597284555435,True,2393,32
WT_rep1__scan_2405000,NC_000913.3,2393000,2417000,2405000,24000,"[{""start"":2393000,""end"":2417000}]",WT_rep1,WT,1,True,OPCID_35,OPCID,1.0,0.11422092882082427,0.049879484,0.04633597284555435,True,2405,33
WT_rep1__scan_4180000,NC_000913.3,4168000,4192000,4180000,24000,"[{""start"":4168000,""end"":4192000}]",WT_rep1,WT,1,False,,,0.751953125,0.10620340351990747,0.049793452,0.04633597284555435,True,4180,34
WT_rep1__scan_3266000,NC_000913.3,3254000,3278000,3266000,24000,"[{""start"":3254000,""end"":3278000}]",WT_rep1,WT,1,True,CHIN_179;CHIN_180;CHIN_181;OPCID_53,CHIN;OPCID,1.0,0.10307152800695812,0.04956826,0.04633597284555435,True,3266,35
WT_rep1__scan_3319000,NC_000913.3,3307000,3331000,3319000,24000,"[{""start"":3307000,""end"":3331000}]",WT_rep1,WT,1,True,CHIN_183;CHIN_184,CHIN,1.0,0.09148095900250008,0.049359247,0.04633597284555435,True,3319,36
WT_rep1__scan_3318000,NC_000913.3,3306000,3330000,3318000,24000,"[{""start"":3306000,""end"":3330000}]",WT_rep1,WT,1,True,CHIN_183;CHIN_184,CHIN,1.0,0.09188675802370541,0.048948824,0.04633597284555435,True,3318,37
WT_rep1__scan_3433000,NC_000913.3,3421000,3445000,3433000,24000,"[{""start"":3421000,""end"":3445000}]",WT_rep1,WT,1,True,OPCID_55,OPCID,0.73828125,0.10664705362979868,0.048530824,0.04633597284555435,True,3433,38
WT_rep1__scan_4179000,NC_000913.3,4167000,4191000,4179000,24000,"[{""start"":4167000,""end"":4191000}]",WT_rep1,WT,1,False,,,0.711669921875,0.1123845714916695,0.04844215,0.04633597284555435,True,4179,39
WT_rep1__scan_2404000,NC_000913.3,2392000,2416000,2404000,24000,"[{""start"":2392000,""end"":2416000}]",WT_rep1,WT,1,True,OPCID_34;OPCID_35,OPCID,1.0,0.11704733632095782,0.048441883,0.04633597284555435,True,2404,40
WT_rep1__scan_4182000,NC_000913.3,4170000,4194000,4182000,24000,"[{""start"":4170000,""end"":4194000}]",WT_rep1,WT,1,False,,,0.86419677734375,0.1000014594833121,0.048119772,0.04633597284555435,True,4182,41
WT_rep1__scan_4241000,NC_000913.3,4229000,4253000,4241000,24000,"[{""start"":4229000,""end"":4253000}]",WT_rep1,WT,1,True,CHIN_226;OPCID_65,CHIN;OPCID,1.0,0.12181705864002822,0.04809459,0.04633597284555435,True,4241,42
WT_rep1__scan_3565000,NC_000913.3,3553000,3577000,3565000,24000,"[{""start"":3553000,""end"":3577000}]",WT_rep1,WT,1,True,OPCID_57,OPCID,1.0,0.09294499413865635,0.04803056,0.04633597284555435,True,3565,43
WT_rep1__scan_3563000,NC_000913.3,3551000,3575000,3563000,24000,"[{""start"":3551000,""end"":3575000}]",WT_rep1,WT,1,True,OPCID_56;OPCID_57,OPCID,1.0,0.09995980346120759,0.047389384,0.04633597284555435,True,3563,44
WT_rep1__scan_1297000,NC_000913.3,1285000,1309000,1297000,24000,"[{""start"":1285000,""end"":1309000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.92340087890625,0.10306574228842633,0.047064863,0.04633597284555435,True,1297,45
WT_rep1__scan_4240000,NC_000913.3,4228000,4252000,4240000,24000,"[{""start"":4228000,""end"":4252000}]",WT_rep1,WT,1,True,CHIN_226,CHIN,1.0,0.12070680922241504,0.04699212,0.04633597284555435,True,4240,46
WT_rep1__scan_2732000,NC_000913.3,2720000,2744000,2732000,24000,"[{""start"":2720000,""end"":2744000}]",WT_rep1,WT,1,False,,,0.7652587890625,0.07817182190566732,0.04658054,0.04633597284555435,True,2732,47
