gene_id,name,chrom,start,end,strand,length_bp,source_sheet,source_row,source_chrom,source_start,source_end
tnaA:3888730-3890145:+,tnaA,NC_000913.3,3888729,3890145,+,1416,Supplementary Table 1,40,MG1655,3888730,3890145
ymgD:1222305-1222634:-,ymgD,NC_000913.3,1222304,1222634,-,330,Supplementary Table 1,41,MG1655,1222305,1222634
mdtF:3660414-3663527:+,mdtF,NC_000913.3,3660413,3663527,+,3114,Supplementary Table 1,42,MG1655,3660414,3663527
arnB:2365928-2367067:+,arnB,NC_000913.3,2365927,2367067,+,1140,Supplementary Table 1,43,MG1655,2365928,2367067
ygiL:3185414-3185965:+,ygiL,NC_000913.3,3185413,3185965,+,552,Supplementary Table 1,44,MG1655,3185414,3185965
ydjI:1856933-1857769:-,ydjI,NC_000913.3,1856932,1857769,-,837,Supplementary Table 1,45,MG1655,1856933,1857769
ydeR:1587793-1588296:-,ydeR,NC_000913.3,1587792,1588296,-,504,Supplementary Table 1,46,MG1655,1587793,1588296
flgE:1132574-1133782:+,flgE,NC_000913.3,1132573,1133782,+,1209,Supplementary Table 1,47,MG1655,1132574,1133782
xapR:2521593-2522477:-,xapR,NC_000913.3,2521592,2522477,-,885,Supplementary Table 1,48,MG1655,2521593,2522477
yjeM:4383839-4385341:+,yjeM,NC_000913.3,4383838,4385341,+,1503,Supplementary Table 1,49,MG1655,4383839,4385341
mdtE:3659232-3660389:+,mdtE,NC_000913.3,3659231,3660389,+,1158,Supplementary Table 1,50,MG1655,3659232,3660389
degP:180884-182308:+,degP,NC_000913.3,180883,182308,+,1425,Supplementary Table 1,51,MG1655,180884,182308
ydbA:1465392-1467904:+,ydbA,NC_000913.3,1465391,1467904,+,2513,Supplementary Table 1,52,MG1655,1465392,1467904
ydbA:1469241-1469293:+,ydbA,NC_000913.3,1469240,1469293,+,53,Supplementary Table 1,53,MG1655,1469241,1469293
ydbA:1470517-1474013:+,ydbA,NC_000913.3,1470516,1474013,+,3497,Supplementary Table 1,54,MG1655,1470517,1474013
ymgG:1222644-1222988:-,ymgG,NC_000913.3,1222643,1222988,-,345,Supplementary Table 1,55,MG1655,1222644,1222988
nlpA:3839175-3839993:-,nlpA,NC_000913.3,3839174,3839993,-,819,Supplementary Table 1,56,MG1655,3839175,3839993
xylF:3731131-3732123:+,xylF,NC_000913.3,3731130,3732123,+,993,Supplementary Table 1,57,MG1655,3731131,3732123
yjhF:4520671-4522020:-,yjhF,NC_000913.3,4520670,4522020,-,1350,Supplementary Table 1,58,MG1655,4520671,4522020
gadW:3663890-3664618:-,gadW,NC_000913.3,3663889,3664618,-,729,Supplementary Table 1,59,MG1655,3663890,3664618
ydjG:1854991-1855971:-,ydjG,NC_000913.3,1854990,1855971,-,981,Supplementary Table 1,60,MG1655,1854991,1855971
yddA:1577657-1579342:-,yddA,NC_000913.3,1577656,1579342,-,1686,Supplementary Table 1,61,MG1655,1577657,1579342
hchA:2035835-2036686:+,hchA,NC_000913.3,2035834,2036686,+,852,Supplementary Table 1,62,MG1655,2035835,2036686
ycgH:1219601-1222248:+,ycgH,NC_000913.3,1219600,1222248,+,2648,Supplementary Table 1,63,MG1655,1219601,1222248
fimE:4542037-4542633:+,fimE,NC_000913.3,4542036,4542633,+,597,Supplementary Table 1,64,MG1655,4542037,4542633
yjhH:4524105-4525010:-,yjhH,NC_000913.3,4524104,4525010,-,906,Supplementary Table 1,65,MG1655,4524105,4525010
osmC:1556625-1557056:+,osmC,NC_000913.3,1556624,1557056,+,432,Supplementary Table 1,66,MG1655,1556625,1557056
ydfI:1629453-1630913:-,ydfI,NC_000913.3,1629452,1630913,-,1461,Supplementary Table 1,67,MG1655,1629453,1630913
yfdE:2488023-2489168:-,yfdE,NC_000913.3,2488022,2489168,-,1146,Supplementary Table 1,68,MG1655,2488023,2489168
nanS:4536614-4537594:-,nanS,NC_000913.3,4536613,4537594,-,981,Supplementary Table 1,69,MG1655,4536614,4537594
hdeB:3655966-3656292:-,hdeB,NC_000913.3,3655965,3656292,-,327,Supplementary Table 1,70,MG1655,3655966,3656292
phoA:401747-403162:+,phoA,NC_000913.3,401746,403162,+,1416,Supplementary Table 1,71,MG1655,401747,403162
gadE:3658366-3658893:+,gadE,NC_000913.3,3658365,3658893,+,528,Supplementary Table 1,72,MG1655,3658366,3658893
ydeS:1588309-1588839:-,ydeS,NC_000913.3,1588308,1588839,-,531,Supplementary Table 1,73,MG1655,1588309,1588839
fliM:2020087-2021091:+,fliM,NC_000913.3,2020086,2021091,+,1005,Supplementary Table 1,74,MG1655,2020087,2021091
pgaB:1087839-1089857:-,pgaB,NC_000913.3,1087838,1089857,-,2019,Supplementary Table 1,75,MG1655,1087839,1089857
ycdU:1095843-1096829:+,ycdU,NC_000913.3,1095842,1096829,+,987,Supplementary Table 1,76,MG1655,1095843,1096829
ppsR:1787445-1788278:+,ppsR,NC_000913.3,1787444,1788278,+,834,Supplementary Table 1,77,MG1655,1787445,1788278
tdcD:3262452-3263660:-,tdcD,NC_000913.3,3262451,3263660,-,1209,Supplementary Table 1,78,MG1655,3262452,3263660
ydjH:1855981-1856928:-,ydjH,NC_000913.3,1855980,1856928,-,948,Supplementary Table 1,79,MG1655,1855981,1856928
yfdV:2489242-2490186:-,yfdV,NC_000913.3,2489241,2490186,-,945,Supplementary Table 1,80,MG1655,2489242,2490186
tdcF:3259721-3260110:-,tdcF,NC_000913.3,3259720,3260110,-,390,Supplementary Table 1,81,MG1655,3259721,3260110
ecpC:306807-309332:-,ecpC,NC_000913.3,306806,309332,-,2526,Supplementary Table 1,82,MG1655,306807,309332
ybhJ:803503-805764:+,ybhJ,NC_000913.3,803502,805764,+,2262,Supplementary Table 1,83,MG1655,803503,805764
yhjB:3671292-3671894:-,yhjB,NC_000913.3,3671291,3671894,-,603,Supplementary Table 1,84,MG1655,3671292,3671894
ydbD:1475144-1477450:+,ydbD,NC_000913.3,1475143,1477450,+,2307,Supplementary Table 1,85,MG1655,1475144,1477450
cadB:4358697-4360031:-,cadB,NC_000913.3,4358696,4360031,-,1335,Supplementary Table 1,86,MG1655,4358697,4360031
yieL:3899408-3900577:-,yieL,NC_000913.3,3899407,3900577,-,1170,Supplementary Table 1,87,MG1655,3899408,3900577
ydiN:1772512-1773777:+,ydiN,NC_000913.3,1772511,1773777,+,1266,Supplementary Table 1,88,MG1655,1772512,1773777
fliF:2013229-2014887:+,fliF,NC_000913.3,2013228,2014887,+,1659,Supplementary Table 1,89,MG1655,2013229,2014887
flgD:1131854-1132549:+,flgD,NC_000913.3,1131853,1132549,+,696,Supplementary Table 1,90,MG1655,1131854,1132549
yceI:1117901-1118476:-,yceI,NC_000913.3,1117900,1118476,-,576,Supplementary Table 1,91,MG1655,1117901,1118476
dosP:1563334-1565733:-,dosP,NC_000913.3,1563333,1565733,-,2400,Supplementary Table 1,92,MG1655,1563334,1565733
flgF:1133802-1134557:+,flgF,NC_000913.3,1133801,1134557,+,756,Supplementary Table 1,93,MG1655,1133802,1134557
casC:2881051-2882142:-,casC,NC_000913.3,2881050,2882142,-,1092,Supplementary Table 1,94,MG1655,2881051,2882142
yedV:2036794-2038152:-,yedV,NC_000913.3,2036793,2038152,-,1359,Supplementary Table 1,95,MG1655,2036794,2038152
yggS:3095098-3095802:+,yggS,NC_000913.3,3095097,3095802,+,705,Supplementary Table 1,96,MG1655,3095098,3095802
tdcG:3258285-3259649:-,tdcG,NC_000913.3,3258284,3259649,-,1365,Supplementary Table 1,97,MG1655,3258285,3259649
chbF:1817148-1818500:-,chbF,NC_000913.3,1817147,1818500,-,1353,Supplementary Table 1,98,MG1655,1817148,1818500
ypjA:2778146-2782726:-,ypjA,NC_000913.3,2778145,2782726,-,4581,Supplementary Table 1,99,MG1655,2778146,2782726
yagL:293220-293918:-,yagL,NC_000913.3,293219,293918,-,699,Supplementary Table 1,100,MG1655,293220,293918
tqsA:1673913-1674947:+,tqsA,NC_000913.3,1673912,1674947,+,1035,Supplementary Table 1,101,MG1655,1673913,1674947
ybhM:820793-821506:+,ybhM,NC_000913.3,820792,821506,+,714,Supplementary Table 1,102,MG1655,820793,821506
psuK:2258355-2259296:-,psuK,NC_000913.3,2258354,2259296,-,942,Supplementary Table 1,103,MG1655,2258355,2259296
yagU:302991-303605:+,yagU,NC_000913.3,302990,303605,+,615,Supplementary Table 1,104,MG1655,302991,303605
ygeV:3004008-3005786:-,ygeV,NC_000913.3,3004007,3005786,-,1779,Supplementary Table 1,105,MG1655,3004008,3005786
ynbC:1479138-1480895:+,ynbC,NC_000913.3,1479137,1480895,+,1758,Supplementary Table 1,106,MG1655,1479138,1480895
gmd:2127193-2128314:-,gmd,NC_000913.3,2127192,2128314,-,1122,Supplementary Table 1,107,MG1655,2127193,2128314
ybcM:571454-572251:+,ybcM,NC_000913.3,571453,572251,+,798,Supplementary Table 1,108,MG1655,571454,572251
dctR:3654683-3655213:+,dctR,NC_000913.3,3654682,3655213,+,531,Supplementary Table 1,109,MG1655,3654683,3655213
oxc:2490256-2491950:-,oxc,NC_000913.3,2490255,2491950,-,1695,Supplementary Table 1,110,MG1655,2490256,2491950
adiY:4337168-4337929:-,adiY,NC_000913.3,4337167,4337929,-,762,Supplementary Table 1,111,MG1655,4337168,4337929
ygaZ:2809617-2810354:+,ygaZ,NC_000913.3,2809616,2810354,+,738,Supplementary Table 1,112,MG1655,2809617,2810354
tdcC:3263686-3265017:-,tdcC,NC_000913.3,3263685,3265017,-,1332,Supplementary Table 1,113,MG1655,3263686,3265017
yjeJ:4373365-4374234:-,yjeJ,NC_000913.3,4373364,4374234,-,870,Supplementary Table 1,114,MG1655,4373365,4374234
arnA:2368039-2370021:+,arnA,NC_000913.3,2368038,2370021,+,1983,Supplementary Table 1,115,MG1655,2368039,2370021
allB:539147-540508:+,allB,NC_000913.3,539146,540508,+,1362,Supplementary Table 1,116,MG1655,539147,540508
flgG:1134729-1135511:+,flgG,NC_000913.3,1134728,1135511,+,783,Supplementary Table 1,117,MG1655,1134729,1135511
glsA:511641-512573:+,glsA,NC_000913.3,511640,512573,+,933,Supplementary Table 1,118,MG1655,511641,512573
preT:2234033-2235271:+,preT,NC_000913.3,2234032,2235271,+,1239,Supplementary Table 1,119,MG1655,2234033,2235271
ecpB:309358-310026:-,ecpB,NC_000913.3,309357,310026,-,669,Supplementary Table 1,120,MG1655,309358,310026
pgaD:1086106-1086519:-,pgaD,NC_000913.3,1086105,1086519,-,414,Supplementary Table 1,121,MG1655,1086106,1086519
casD:2880374-2881048:-,casD,NC_000913.3,2880373,2881048,-,675,Supplementary Table 1,122,MG1655,2880374,2881048
ydfJ:1652755-1652838:-,ydfJ,NC_000913.3,1652754,1652838,-,84,Supplementary Table 1,123,MG1655,1652755,1652838
ydfJ:1631002-1632285:-,ydfJ,NC_000913.3,1631001,1632285,-,1284,Supplementary Table 1,124,MG1655,1631002,1632285
yjcZ:4329360-4330238:+,yjcZ,NC_000913.3,4329359,4330238,+,879,Supplementary Table 1,125,MG1655,4329360,4330238
arnC:2367071-2368039:+,arnC,NC_000913.3,2367070,2368039,+,969,Supplementary Table 1,126,MG1655,2367071,2368039
yadC:149715-150953:-,yadC,NC_000913.3,149714,150953,-,1239,Supplementary Table 1,127,MG1655,149715,150953
proX:2807132-2808124:+,proX,NC_000913.3,2807131,2808124,+,993,Supplementary Table 1,128,MG1655,2807132,2808124
gatD:2171833-2172873:-,gatD,NC_000913.3,2171832,2172873,-,1041,Supplementary Table 1,129,MG1655,2171833,2172873
wcaG:2126225-2127190:-,wcaG,NC_000913.3,2126224,2127190,-,966,Supplementary Table 1,130,MG1655,2126225,2127190
etk:1042030-1044210:-,etk,NC_000913.3,1042029,1044210,-,2181,Supplementary Table 1,131,MG1655,1042030,1044210
ynbB:1478226-1479122:+,ynbB,NC_000913.3,1478225,1479122,+,897,Supplementary Table 1,132,MG1655,1478226,1479122
yadL:151626-152231:-,yadL,NC_000913.3,151625,152231,-,606,Supplementary Table 1,133,MG1655,151626,152231
gatC:2172921-2174278:-,gatC,NC_000913.3,2172920,2174278,-,1358,Supplementary Table 1,134,MG1655,2172921,2174278
yiaV:3752963-3754099:-,yiaV,NC_000913.3,3752962,3754099,-,1137,Supplementary Table 1,135,MG1655,3752963,3754099
gfcD:1045849-1047945:-,gfcD,NC_000913.3,1045848,1047945,-,2097,Supplementary Table 1,136,MG1655,1045849,1047945
ompG:1381947-1382852:+,ompG,NC_000913.3,1381946,1382852,+,906,Supplementary Table 1,137,MG1655,1381947,1382852
appA:1040617-1041915:+,appA,NC_000913.3,1040616,1041915,+,1299,Supplementary Table 1,138,MG1655,1040617,1041915
hdhA:1697273-1698040:-,hdhA,NC_000913.3,1697272,1698040,-,768,Supplementary Table 1,139,MG1655,1697273,1698040
ycdT:1092876-1094234:+,ycdT,NC_000913.3,1092875,1094234,+,1359,Supplementary Table 1,140,MG1655,1092876,1094234
cadC:4360396-4361934:-,cadC,NC_000913.3,4360395,4361934,-,1539,Supplementary Table 1,141,MG1655,4360396,4361934
sfmD:559697-562300:+,sfmD,NC_000913.3,559696,562300,+,2604,Supplementary Table 1,142,MG1655,559697,562300
yadN:156299-156883:-,yadN,NC_000913.3,156298,156883,-,585,Supplementary Table 1,143,MG1655,156299,156883
cadA:4356470-4358617:-,cadA,NC_000913.3,4356469,4358617,-,2148,Supplementary Table 1,144,MG1655,4356470,4358617
ybfG:715947-716597:-,ybfG,NC_000913.3,715946,716597,-,651,Supplementary Table 1,145,MG1655,715947,716597
yieK:3898671-3899393:-,yieK,NC_000913.3,3898670,3899393,-,723,Supplementary Table 1,146,MG1655,3898671,3899393
waaH:3789047-3790081:-,waaH,NC_000913.3,3789046,3790081,-,1035,Supplementary Table 1,147,MG1655,3789047,3790081
nanA:3372683-3373576:-,nanA,NC_000913.3,3372682,3373576,-,894,Supplementary Table 1,148,MG1655,3372683,3373576
yhiM:3634841-3635893:+,yhiM,NC_000913.3,3634840,3635893,+,1053,Supplementary Table 1,149,MG1655,3634841,3635893
dosC:1565758-1567140:-,dosC,NC_000913.3,1565757,1567140,-,1383,Supplementary Table 1,150,MG1655,1565758,1567140
fliL:2019618-2020082:+,fliL,NC_000913.3,2019617,2020082,+,465,Supplementary Table 1,151,MG1655,2019618,2020082
yciE:1314718-1315224:-,yciE,NC_000913.3,1314717,1315224,-,507,Supplementary Table 1,152,MG1655,1314718,1315224
psuT:2256085-2257335:-,psuT,NC_000913.3,2256084,2257335,-,1251,Supplementary Table 1,153,MG1655,2256085,2257335
katE:1813867-1816128:+,katE,NC_000913.3,1813866,1816128,+,2262,Supplementary Table 1,154,MG1655,1813867,1816128
yihQ:4067240-4069276:-,yihQ,NC_000913.3,4067239,4069276,-,2037,Supplementary Table 1,155,MG1655,4067240,4069276
yaiS:384059-384616:-,yaiS,NC_000913.3,384058,384616,-,558,Supplementary Table 1,156,MG1655,384059,384616
ydjJ:1857790-1858833:-,ydjJ,NC_000913.3,1857789,1858833,-,1044,Supplementary Table 1,157,MG1655,1857790,1858833
emrY:2480638-2482176:-,emrY,NC_000913.3,2480637,2482176,-,1539,Supplementary Table 1,158,MG1655,2480638,2482176
glxR:536586-537464:+,glxR,NC_000913.3,536585,537464,+,879,Supplementary Table 1,159,MG1655,536586,537464
malP:3550080-3552473:-,malP,NC_000913.3,3550079,3552473,-,2394,Supplementary Table 1,160,MG1655,3550080,3552473
ais:2365018-2365620:-,ais,NC_000913.3,2365017,2365620,-,603,Supplementary Table 1,161,MG1655,2365018,2365620
flgB:1131018-1131434:+,flgB,NC_000913.3,1131017,1131434,+,417,Supplementary Table 1,162,MG1655,1131018,1131434
ynaI:1394891-1395922:-,ynaI,NC_000913.3,1394890,1395922,-,1032,Supplementary Table 1,163,MG1655,1394891,1395922
alaA:2407561-2408778:+,alaA,NC_000913.3,2407560,2408778,+,1218,Supplementary Table 1,164,MG1655,2407561,2408778
ybhD:799622-800575:-,ybhD,NC_000913.3,799621,800575,-,954,Supplementary Table 1,165,MG1655,799622,800575
yceJ:1118480-1119046:-,yceJ,NC_000913.3,1118479,1119046,-,567,Supplementary Table 1,166,MG1655,1118480,1119046
fliG:2014880-2015875:+,fliG,NC_000913.3,2014879,2015875,+,996,Supplementary Table 1,167,MG1655,2014880,2015875
yqeC:3014287-3015057:-,yqeC,NC_000913.3,3014286,3015057,-,771,Supplementary Table 1,168,MG1655,3014287,3015057
lrhA:2405703-2406641:-,lrhA,NC_000913.3,2405702,2406641,-,939,Supplementary Table 1,169,MG1655,2405703,2406641
ykgB:317726-318319:-,ykgB,NC_000913.3,317725,318319,-,594,Supplementary Table 1,170,MG1655,317726,318319
treF:3669592-3671241:+,treF,NC_000913.3,3669591,3671241,+,1650,Supplementary Table 1,171,MG1655,3669592,3671241
rcsA:2023968-2024591:+,rcsA,NC_000913.3,2023967,2024591,+,624,Supplementary Table 1,172,MG1655,2023968,2024591
flgC:1131438-1131842:+,flgC,NC_000913.3,1131437,1131842,+,405,Supplementary Table 1,173,MG1655,1131438,1131842
ecpR:310746-311336:-,ecpR,NC_000913.3,310745,311336,-,591,Supplementary Table 1,174,MG1655,310746,311336
ydiY:1805325-1806083:-,ydiY,NC_000913.3,1805324,1806083,-,759,Supplementary Table 1,175,MG1655,1805325,1806083
yehP:2207967-2209103:+,yehP,NC_000913.3,2207966,2209103,+,1137,Supplementary Table 1,176,MG1655,2207967,2209103
ubiB:4020226-4021866:+,ubiB,NC_000913.3,4020225,4021866,+,1641,Supplementary Table 1,177,MG1655,4020226,4021866
casE:2879788-2880387:-,casE,NC_000913.3,2879787,2880387,-,600,Supplementary Table 1,178,MG1655,2879788,2880387
ybcL:570893-571444:+,ybcL,NC_000913.3,570892,571444,+,552,Supplementary Table 1,179,MG1655,570893,571444
casA:2882630-2884138:-,casA,NC_000913.3,2882629,2884138,-,1509,Supplementary Table 1,180,MG1655,2882630,2884138
ybjG:882792-883388:-,ybjG,NC_000913.3,882791,883388,-,597,Supplementary Table 1,181,MG1655,882792,883388
rbsA:3933778-3935283:+,rbsA,NC_000913.3,3933777,3935283,+,1506,Supplementary Table 1,182,MG1655,3933778,3935283
yaiP:382739-383935:-,yaiP,NC_000913.3,382738,383935,-,1197,Supplementary Table 1,183,MG1655,382739,383935
ybjL:888134-889819:-,ybjL,NC_000913.3,888133,889819,-,1686,Supplementary Table 1,184,MG1655,888134,889819
yadM:152243-152812:-,yadM,NC_000913.3,152242,152812,-,570,Supplementary Table 1,185,MG1655,152243,152812
mntP:1905688-1906254:+,mntP,NC_000913.3,1905687,1906254,+,567,Supplementary Table 1,186,MG1655,1905688,1906254
yagK:292322-292948:-,yagK,NC_000913.3,292321,292948,-,627,Supplementary Table 1,187,MG1655,292322,292948
ybeF:660425-661378:-,ybeF,NC_000913.3,660424,661378,-,954,Supplementary Table 1,188,MG1655,660425,661378
chbC:1819856-1821214:-,chbC,NC_000913.3,1819855,1821214,-,1359,Supplementary Table 1,189,MG1655,1819856,1821214
yfcV:2455083-2455646:-,yfcV,NC_000913.3,2455082,2455646,-,564,Supplementary Table 1,190,MG1655,2455083,2455646
yihO:4064363-4065766:-,yihO,NC_000913.3,4064362,4065766,-,1404,Supplementary Table 1,191,MG1655,4064363,4065766
pagP:656557-657117:+,pagP,NC_000913.3,656556,657117,+,561,Supplementary Table 1,192,MG1655,656557,657117
gspC:3455578-3456393:+,gspC,NC_000913.3,3455577,3456393,+,816,Supplementary Table 1,193,MG1655,3455578,3456393
fliA:2001070-2001789:-,fliA,NC_000913.3,2001069,2001789,-,720,Supplementary Table 1,194,MG1655,2001070,2001789
solA:1119468-1120586:-,solA,NC_000913.3,1119467,1120586,-,1119,Supplementary Table 1,195,MG1655,1119468,1120586
bcsQ:3695233-3695985:-,bcsQ,NC_000913.3,3695232,3695985,-,753,Supplementary Table 1,196,MG1655,3695233,3695985
ydeO:1582926-1583687:-,ydeO,NC_000913.3,1582925,1583687,-,762,Supplementary Table 1,197,MG1655,1582926,1583687
csgG:1100851-1101684:-,csgG,NC_000913.3,1100850,1101684,-,834,Supplementary Table 1,198,MG1655,1100851,1101684
yggP:3076179-3077456:-,yggP,NC_000913.3,3076178,3077456,-,1278,Supplementary Table 1,199,MG1655,3076179,3077456
ydjE:1852621-1853979:-,ydjE,NC_000913.3,1852620,1853979,-,1359,Supplementary Table 1,200,MG1655,1852621,1853979
mglC:2236743-2237753:-,mglC,NC_000913.3,2236742,2237753,-,1011,Supplementary Table 1,201,MG1655,2236743,2237753
hlyE:1229483-1230394:-,hlyE,NC_000913.3,1229482,1230394,-,912,Supplementary Table 1,202,MG1655,1229483,1230394
recE:1414786-1417386:-,recE,NC_000913.3,1414785,1417386,-,2601,Supplementary Table 1,203,MG1655,1414786,1417386
pflB:951272-953554:-,pflB,NC_000913.3,951271,953554,-,2283,Supplementary Table 1,204,MG1655,951272,953554
lysP:2247063-2248532:-,lysP,NC_000913.3,2247062,2248532,-,1470,Supplementary Table 1,205,MG1655,2247063,2248532
bglH:3900604-3902220:-,bglH,NC_000913.3,3900603,3902220,-,1617,Supplementary Table 1,206,MG1655,3900604,3902220
ybeQ:675570-676547:-,ybeQ,NC_000913.3,675569,676547,-,978,Supplementary Table 1,207,MG1655,675570,676547
tdcB:3265039-3266028:-,tdcB,NC_000913.3,3265038,3266028,-,990,Supplementary Table 1,208,MG1655,3265039,3266028
fepE:618254-619387:+,fepE,NC_000913.3,618253,619387,+,1134,Supplementary Table 1,209,MG1655,618254,619387
sieB:1418671-1419159:+,sieB,NC_000913.3,1418670,1419159,+,489,Supplementary Table 1,210,MG1655,1418671,1419159
casB:2882155-2882637:-,casB,NC_000913.3,2882154,2882637,-,483,Supplementary Table 1,211,MG1655,2882155,2882637
rmuC:4017333-4018760:+,rmuC,NC_000913.3,4017332,4018760,+,1428,Supplementary Table 1,212,MG1655,4017333,4018760
ybhI:801887-803320:+,ybhI,NC_000913.3,801886,803320,+,1434,Supplementary Table 1,213,MG1655,801887,803320
torZ:1954578-1957007:-,torZ,NC_000913.3,1954577,1957007,-,2430,Supplementary Table 1,214,MG1655,1954578,1957007
frc:2492004-2493254:-,frc,NC_000913.3,2492003,2493254,-,1251,Supplementary Table 1,215,MG1655,2492004,2493254
nanM:4537659-4538765:-,nanM,NC_000913.3,4537658,4538765,-,1107,Supplementary Table 1,216,MG1655,4537659,4538765
chbG:1816386-1817135:-,chbG,NC_000913.3,1816385,1817135,-,750,Supplementary Table 1,217,MG1655,1816386,1817135
betI:328747-329334:-,betI,NC_000913.3,328746,329334,-,588,Supplementary Table 1,218,MG1655,328747,329334
fliI:2016554-2017927:+,fliI,NC_000913.3,2016553,2017927,+,1374,Supplementary Table 1,219,MG1655,2016554,2017927
yhfK:3486791-3488893:+,yhfK,NC_000913.3,3486790,3488893,+,2103,Supplementary Table 1,220,MG1655,3486791,3488893
