ID,type,chrom,start,end,center,length_bp,source_sheet,source_row,source_chrom,source_start,source_end,source_center
OPCID_32,OPCID,NC_000913.3,2211940,2215000,2213470,3060,Supplementary Table 4,33,MG1655,2211940,2215000,
OPCID_33,OPCID,NC_000913.3,2259040,2263960,2261500,4920,Supplementary Table 4,34,MG1655,2259040,2263960,
OPCID_34,OPCID,NC_000913.3,2389410,2393000,2391205,3590,Supplementary Table 4,35,MG1655,2389410,2393000,
OPCID_35,OPCID,NC_000913.3,2393000,2397570,2395285,4570,Supplementary Table 4,36,MG1655,2393000,2397570,
OPCID_36,OPCID,NC_000913.3,2440390,2441890,2441140,1500,Supplementary Table 4,37,MG1655,2440390,2441890,
OPCID_37,OPCID,NC_000913.3,2529590,2532260,2530925,2670,Supplementary Table 4,38,MG1655,2529590,2532260,
OPCID_38,OPCID,NC_000913.3,2532990,2536410,2534700,3420,Supplementary Table 4,39,MG1655,2532990,2536410,
OPCID_39,OPCID,NC_000913.3,2543000,2544750,2543875,1750,Supplementary Table 4,40,MG1655,2543000,2544750,
OPCID_40,OPCID,NC_000913.3,2563220,2565610,2564415,2390,Supplementary Table 4,41,MG1655,2563220,2565610,
OPCID_41,OPCID,NC_000913.3,2637380,2643140,2640260,5760,Supplementary Table 4,42,MG1655,2637380,2643140,
OPCID_42,OPCID,NC_000913.3,2647290,2653520,2650405,6230,Supplementary Table 4,43,MG1655,2647290,2653520,
OPCID_43,OPCID,NC_000913.3,2661520,2663750,2662635,2230,Supplementary Table 4,44,MG1655,2661520,2663750,
OPCID_44,OPCID,NC_000913.3,2683840,2691680,2687760,7840,Supplementary Table 4,45,MG1655,2683840,2691680,
OPCID_45,OPCID,NC_000913.3,2708310,2710490,2709400,2180,Supplementary Table 4,46,MG1655,2708310,2710490,
OPCID_46,OPCID,NC_000913.3,2866350,2870610,2868480,4260,Supplementary Table 4,47,MG1655,2866350,2870610,
OPCID_47,OPCID,NC_000913.3,2917350,2922640,2919995,5290,Supplementary Table 4,48,MG1655,2917350,2922640,
OPCID_48,OPCID,NC_000913.3,2939250,2942980,2941115,3730,Supplementary Table 4,49,MG1655,2939250,2942980,
OPCID_49,OPCID,NC_000913.3,2964460,2969080,2966770,4620,Supplementary Table 4,50,MG1655,2964460,2969080,
OPCID_50,OPCID,NC_000913.3,3012260,3016260,3014260,4000,Supplementary Table 4,51,MG1655,3012260,3016260,
OPCID_51,OPCID,NC_000913.3,3040170,3043170,3041670,3000,Supplementary Table 4,52,MG1655,3040170,3043170,
OPCID_52,OPCID,NC_000913.3,3046160,3051090,3048625,4930,Supplementary Table 4,53,MG1655,3046160,3051090,
OPCID_53,OPCID,NC_000913.3,3269380,3278780,3274080,9400,Supplementary Table 4,54,MG1655,3269380,3278780,
OPCID_54,OPCID,NC_000913.3,3375910,3384990,3380450,9080,Supplementary Table 4,55,MG1655,3375910,3384990,
OPCID_55,OPCID,NC_000913.3,3439610,3448700,3444155,9090,Supplementary Table 4,56,MG1655,3439610,3448700,
OPCID_56,OPCID,NC_000913.3,3547440,3552940,3550190,5500,Supplementary Table 4,57,MG1655,3547440,3552940,
OPCID_57,OPCID,NC_000913.3,3552940,3556260,3554600,3320,Supplementary Table 4,58,MG1655,3552940,3556260,
OPCID_58,OPCID,NC_000913.3,3638960,3642850,3640905,3890,Supplementary Table 4,59,MG1655,3638960,3642850,
OPCID_59,OPCID,NC_000913.3,3735170,3740140,3737655,4970,Supplementary Table 4,60,MG1655,3735170,3740140,
OPCID_60,OPCID,NC_000913.3,3864340,3869140,3866740,4800,Supplementary Table 4,61,MG1655,3864340,3869140,
OPCID_61,OPCID,NC_000913.3,3911270,3927110,3919190,15840,Supplementary Table 4,62,MG1655,3911270,3927110,
OPCID_62,OPCID,NC_000913.3,3986190,4002850,3994520,16660,Supplementary Table 4,63,MG1655,3986190,4002850,
OPCID_63,OPCID,NC_000913.3,4015990,4027660,4021825,11670,Supplementary Table 4,64,MG1655,4015990,4027660,
OPCID_64,OPCID,NC_000913.3,4115250,4120550,4117900,5300,Supplementary Table 4,65,MG1655,4115250,4120550,
OPCID_65,OPCID,NC_000913.3,4252060,4260210,4256135,8150,Supplementary Table 4,66,MG1655,4252060,4260210,
OPCID_66,OPCID,NC_000913.3,4276470,4282120,4279295,5650,Supplementary Table 4,67,MG1655,4276470,4282120,
OPCID_67,OPCID,NC_000913.3,4480430,4488410,4484420,7980,Supplementary Table 4,68,MG1655,4480430,4488410,
OPCID_68,OPCID,NC_000913.3,4583060,4587140,4585100,4080,Supplementary Table 4,69,MG1655,4583060,4587140,
CHIN_1,CHIN,NC_000913.3,58260,59420,58840,1160,Supplementary Table 5,2,MG1655,58260,59420,58840
CHIN_2,CHIN,NC_000913.3,83460,85860,84660,2400,Supplementary Table 5,3,MG1655,83460,85860,84660
CHIN_3,CHIN,NC_000913.3,150060,152600,151330,2540,Supplementary Table 5,4,MG1655,150060,152600,151330
CHIN_4,CHIN,NC_000913.3,150060,153540,151800,3480,Supplementary Table 5,5,MG1655,150060,153540,151800
CHIN_5,CHIN,NC_000913.3,150060,154620,152340,4560,Supplementary Table 5,6,MG1655,150060,154620,152340
CHIN_6,CHIN,NC_000913.3,153540,155700,154620,2160,Supplementary Table 5,7,MG1655,153540,155700,154620
CHIN_7,CHIN,NC_000913.3,156170,157290,156730,1120,Supplementary Table 5,8,MG1655,156170,157290,156730
CHIN_8,CHIN,NC_000913.3,179740,181020,180380,1280,Supplementary Table 5,9,MG1655,179740,181020,180380
CHIN_9,CHIN,NC_000913.3,237000,238940,237970,1940,Supplementary Table 5,10,MG1655,237000,238940,237970
CHIN_10,CHIN,NC_000913.3,252280,253840,253060,1560,Supplementary Table 5,11,MG1655,252280,253840,253060
CHIN_11,CHIN,NC_000913.3,252280,260520,256400,8240,Supplementary Table 5,12,MG1655,252280,260520,256400
CHIN_12,CHIN,NC_000913.3,258700,260480,259590,1780,Supplementary Table 5,13,MG1655,258700,260480,259590
CHIN_13,CHIN,NC_000913.3,262320,263560,262940,1240,Supplementary Table 5,14,MG1655,262320,263560,262940
CHIN_14,CHIN,NC_000913.3,292430,295450,293940,3020,Supplementary Table 5,15,MG1655,292430,295450,293940
CHIN_15,CHIN,NC_000913.3,294940,296400,295670,1460,Supplementary Table 5,16,MG1655,294940,296400,295670
CHIN_16,CHIN,NC_000913.3,296440,298020,297230,1580,Supplementary Table 5,17,MG1655,296440,298020,297230
CHIN_17,CHIN,NC_000913.3,302620,304120,303370,1500,Supplementary Table 5,18,MG1655,302620,304120,303370
CHIN_18,CHIN,NC_000913.3,312500,314520,313510,2020,Supplementary Table 5,19,MG1655,312500,314520,313510
CHIN_19,CHIN,NC_000913.3,318290,319970,319130,1680,Supplementary Table 5,20,MG1655,318290,319970,319130
CHIN_20,CHIN,NC_000913.3,335190,336930,336060,1740,Supplementary Table 5,21,MG1655,335190,336930,336060
CHIN_21,CHIN,NC_000913.3,343740,345280,344510,1540,Supplementary Table 5,22,MG1655,343740,345280,344510
CHIN_22,CHIN,NC_000913.3,431650,432910,432280,1260,Supplementary Table 5,23,MG1655,431650,432910,432280
CHIN_23,CHIN,NC_000913.3,479730,481550,480640,1820,Supplementary Table 5,24,MG1655,479730,481550,480640
CHIN_24,CHIN,NC_000913.3,515700,516920,516310,1220,Supplementary Table 5,25,MG1655,515700,516920,516310
CHIN_25,CHIN,NC_000913.3,526710,529470,528090,2760,Supplementary Table 5,26,MG1655,526710,529470,528090
CHIN_26,CHIN,NC_000913.3,535810,538250,537030,2440,Supplementary Table 5,27,MG1655,535810,538250,537030
CHIN_27,CHIN,NC_000913.3,537490,539170,538330,1680,Supplementary Table 5,28,MG1655,537490,539170,538330
CHIN_28,CHIN,NC_000913.3,545170,546710,545940,1540,Supplementary Table 5,29,MG1655,545170,546710,545940
CHIN_29,CHIN,NC_000913.3,558190,560310,559250,2120,Supplementary Table 5,30,MG1655,558190,560310,559250
CHIN_30,CHIN,NC_000913.3,558190,561210,559700,3020,Supplementary Table 5,31,MG1655,558190,561210,559700
CHIN_31,CHIN,NC_000913.3,562020,564760,563390,2740,Supplementary Table 5,32,MG1655,562020,564760,563390
CHIN_32,CHIN,NC_000913.3,563970,568970,566470,5000,Supplementary Table 5,33,MG1655,563970,568970,566470
CHIN_33,CHIN,NC_000913.3,568090,570890,569490,2800,Supplementary Table 5,34,MG1655,568090,570890,569490
CHIN_34,CHIN,NC_000913.3,569420,572480,570950,3060,Supplementary Table 5,35,MG1655,569420,572480,570950
CHIN_35,CHIN,NC_000913.3,570750,572390,571570,1640,Supplementary Table 5,36,MG1655,570750,572390,571570
CHIN_36,CHIN,NC_000913.3,582900,585780,584340,2880,Supplementary Table 5,37,MG1655,582900,585780,584340
CHIN_37,CHIN,NC_000913.3,617720,619520,618620,1800,Supplementary Table 5,38,MG1655,617720,619520,618620
CHIN_38,CHIN,NC_000913.3,636260,638180,637220,1920,Supplementary Table 5,39,MG1655,636260,638180,637220
CHIN_39,CHIN,NC_000913.3,655540,657040,656290,1500,Supplementary Table 5,40,MG1655,655540,657040,656290
CHIN_40,CHIN,NC_000913.3,660590,662490,661540,1900,Supplementary Table 5,41,MG1655,660590,662490,661540
CHIN_41,CHIN,NC_000913.3,676260,677580,676920,1320,Supplementary Table 5,42,MG1655,676260,677580,676920
CHIN_42,CHIN,NC_000913.3,676260,680280,678270,4020,Supplementary Table 5,43,MG1655,676260,680280,678270
CHIN_43,CHIN,NC_000913.3,715620,717120,716370,1500,Supplementary Table 5,44,MG1655,715620,717120,716370
CHIN_44,CHIN,NC_000913.3,720100,721340,720720,1240,Supplementary Table 5,45,MG1655,720100,721340,720720
CHIN_45,CHIN,NC_000913.3,732990,736410,734700,3420,Supplementary Table 5,46,MG1655,732990,736410,734700
CHIN_46,CHIN,NC_000913.3,735680,739080,737380,3400,Supplementary Table 5,47,MG1655,735680,739080,737380
CHIN_47,CHIN,NC_000913.3,748180,749460,748820,1280,Supplementary Table 5,48,MG1655,748180,749460,748820
CHIN_48,CHIN,NC_000913.3,751750,753190,752470,1440,Supplementary Table 5,49,MG1655,751750,753190,752470
CHIN_49,CHIN,NC_000913.3,799970,802230,801100,2260,Supplementary Table 5,50,MG1655,799970,802230,801100
CHIN_50,CHIN,NC_000913.3,820280,821760,821020,1480,Supplementary Table 5,51,MG1655,820280,821760,821020
CHIN_51,CHIN,NC_000913.3,872520,876840,874680,4320,Supplementary Table 5,52,MG1655,872520,876840,874680
CHIN_52,CHIN,NC_000913.3,997460,998920,998190,1460,Supplementary Table 5,53,MG1655,997460,998920,998190
CHIN_53,CHIN,NC_000913.3,998130,999910,999020,1780,Supplementary Table 5,54,MG1655,998130,999910,999020
CHIN_54,CHIN,NC_000913.3,1049000,1051220,1050110,2220,Supplementary Table 5,55,MG1655,1049000,1051220,1050110
CHIN_55,CHIN,NC_000913.3,1050610,1052710,1051660,2100,Supplementary Table 5,56,MG1655,1050610,1052710,1051660
CHIN_56,CHIN,NC_000913.3,1064050,1065830,1064940,1780,Supplementary Table 5,57,MG1655,1064050,1065830,1064940
CHIN_57,CHIN,NC_000913.3,1086240,1089040,1087640,2800,Supplementary Table 5,58,MG1655,1086240,1089040,1087640
CHIN_58,CHIN,NC_000913.3,1087590,1089310,1088450,1720,Supplementary Table 5,59,MG1655,1087590,1089310,1088450
CHIN_59,CHIN,NC_000913.3,1086240,1093920,1090080,7680,Supplementary Table 5,60,MG1655,1086240,1093920,1090080
CHIN_60,CHIN,NC_000913.3,1090720,1094340,1092530,3620,Supplementary Table 5,61,MG1655,1090720,1094340,1092530
CHIN_61,CHIN,NC_000913.3,1092650,1096790,1094720,4140,Supplementary Table 5,62,MG1655,1092650,1096790,1094720
CHIN_62,CHIN,NC_000913.3,1101500,1103860,1102680,2360,Supplementary Table 5,63,MG1655,1101500,1103860,1102680
CHIN_63,CHIN,NC_000913.3,1103980,1105420,1104700,1440,Supplementary Table 5,64,MG1655,1103980,1105420,1104700
CHIN_64,CHIN,NC_000913.3,1117780,1119480,1118630,1700,Supplementary Table 5,65,MG1655,1117780,1119480,1118630
CHIN_65,CHIN,NC_000913.3,1118940,1121440,1120190,2500,Supplementary Table 5,66,MG1655,1118940,1121440,1120190
CHIN_66,CHIN,NC_000913.3,1180270,1181990,1181130,1720,Supplementary Table 5,67,MG1655,1180270,1181990,1181130
CHIN_67,CHIN,NC_000913.3,1196620,1200380,1198500,3760,Supplementary Table 5,68,MG1655,1196620,1200380,1198500
CHIN_68,CHIN,NC_000913.3,1197850,1200030,1198940,2180,Supplementary Table 5,69,MG1655,1197850,1200030,1198940
CHIN_69,CHIN,NC_000913.3,1201850,1203350,1202600,1500,Supplementary Table 5,70,MG1655,1201850,1203350,1202600
CHIN_70,CHIN,NC_000913.3,1209910,1212870,1211390,2960,Supplementary Table 5,71,MG1655,1209910,1212870,1211390
CHIN_71,CHIN,NC_000913.3,1214260,1217180,1215720,2920,Supplementary Table 5,72,MG1655,1214260,1217180,1215720
CHIN_72,CHIN,NC_000913.3,1215940,1218880,1217410,2940,Supplementary Table 5,73,MG1655,1215940,1218880,1217410
CHIN_73,CHIN,NC_000913.3,1215940,1221040,1218490,5100,Supplementary Table 5,74,MG1655,1215940,1221040,1218490
CHIN_74,CHIN,NC_000913.3,1217950,1220390,1219170,2440,Supplementary Table 5,75,MG1655,1217950,1220390,1219170
CHIN_75,CHIN,NC_000913.3,1219500,1220780,1220140,1280,Supplementary Table 5,76,MG1655,1219500,1220780,1220140
CHIN_76,CHIN,NC_000913.3,1228980,1230740,1229860,1760,Supplementary Table 5,77,MG1655,1228980,1230740,1229860
CHIN_77,CHIN,NC_000913.3,1314540,1316520,1315530,1980,Supplementary Table 5,78,MG1655,1314540,1316520,1315530
CHIN_78,CHIN,NC_000913.3,1369780,1372400,1371090,2620,Supplementary Table 5,79,MG1655,1369780,1372400,1371090
CHIN_79,CHIN,NC_000913.3,1381410,1383750,1382580,2340,Supplementary Table 5,80,MG1655,1381410,1383750,1382580
CHIN_80,CHIN,NC_000913.3,1393890,1396230,1395060,2340,Supplementary Table 5,81,MG1655,1393890,1396230,1395060
CHIN_81,CHIN,NC_000913.3,1411210,1412610,1411910,1400,Supplementary Table 5,82,MG1655,1411210,1412610,1411910
CHIN_82,CHIN,NC_000913.3,1412520,1414160,1413340,1640,Supplementary Table 5,83,MG1655,1412520,1414160,1413340
CHIN_83,CHIN,NC_000913.3,1417480,1419240,1418360,1760,Supplementary Table 5,84,MG1655,1417480,1419240,1418360
CHIN_84,CHIN,NC_000913.3,1419250,1420750,1420000,1500,Supplementary Table 5,85,MG1655,1419250,1420750,1420000
CHIN_85,CHIN,NC_000913.3,1475330,1477350,1476340,2020,Supplementary Table 5,86,MG1655,1475330,1477350,1476340
CHIN_86,CHIN,NC_000913.3,1475330,1479670,1477500,4340,Supplementary Table 5,87,MG1655,1475330,1479670,1477500
CHIN_87,CHIN,NC_000913.3,1519960,1521340,1520650,1380,Supplementary Table 5,88,MG1655,1519960,1521340,1520650
CHIN_88,CHIN,NC_000913.3,1526710,1530630,1528670,3920,Supplementary Table 5,89,MG1655,1526710,1530630,1528670
CHIN_89,CHIN,NC_000913.3,1529440,1532720,1531080,3280,Supplementary Table 5,90,MG1655,1529440,1532720,1531080
CHIN_90,CHIN,NC_000913.3,1566010,1567870,1566940,1860,Supplementary Table 5,91,MG1655,1566010,1567870,1566940
CHIN_91,CHIN,NC_000913.3,1575090,1577150,1576120,2060,Supplementary Table 5,92,MG1655,1575090,1577150,1576120
CHIN_92,CHIN,NC_000913.3,1577970,1580910,1579440,2940,Supplementary Table 5,93,MG1655,1577970,1580910,1579440
CHIN_93,CHIN,NC_000913.3,1581250,1584230,1582740,2980,Supplementary Table 5,94,MG1655,1581250,1584230,1582740
CHIN_94,CHIN,NC_000913.3,1586080,1590460,1588270,4380,Supplementary Table 5,95,MG1655,1586080,1590460,1588270
CHIN_95,CHIN,NC_000913.3,1596300,1598600,1597450,2300,Supplementary Table 5,96,MG1655,1596300,1598600,1597450
CHIN_96,CHIN,NC_000913.3,1615310,1617130,1616220,1820,Supplementary Table 5,97,MG1655,1615310,1617130,1616220
CHIN_97,CHIN,NC_000913.3,1630880,1632680,1631780,1800,Supplementary Table 5,98,MG1655,1630880,1632680,1631780
CHIN_98,CHIN,NC_000913.3,1636990,1639070,1638030,2080,Supplementary Table 5,99,MG1655,1636990,1639070,1638030
CHIN_99,CHIN,NC_000913.3,1646300,1649960,1648130,3660,Supplementary Table 5,100,MG1655,1646300,1649960,1648130
CHIN_100,CHIN,NC_000913.3,1753290,1755370,1754330,2080,Supplementary Table 5,101,MG1655,1753290,1755370,1754330
CHIN_101,CHIN,NC_000913.3,1771840,1774000,1772920,2160,Supplementary Table 5,102,MG1655,1771840,1774000,1772920
CHIN_102,CHIN,NC_000913.3,1775480,1776960,1776220,1480,Supplementary Table 5,103,MG1655,1775480,1776960,1776220
CHIN_103,CHIN,NC_000913.3,1802700,1805220,1803960,2520,Supplementary Table 5,104,MG1655,1802700,1805220,1803960
CHIN_104,CHIN,NC_000913.3,1843870,1845130,1844500,1260,Supplementary Table 5,105,MG1655,1843870,1845130,1844500
CHIN_105,CHIN,NC_000913.3,1852690,1854510,1853600,1820,Supplementary Table 5,106,MG1655,1852690,1854510,1853600
CHIN_106,CHIN,NC_000913.3,1856500,1858100,1857300,1600,Supplementary Table 5,107,MG1655,1856500,1858100,1857300
CHIN_107,CHIN,NC_000913.3,1869840,1872100,1870970,2260,Supplementary Table 5,108,MG1655,1869840,1872100,1870970
CHIN_108,CHIN,NC_000913.3,1869840,1873960,1871900,4120,Supplementary Table 5,109,MG1655,1869840,1873960,1871900
CHIN_109,CHIN,NC_000913.3,2010930,2012450,2011690,1520,Supplementary Table 5,110,MG1655,2010930,2012450,2011690
CHIN_110,CHIN,NC_000913.3,2023320,2024820,2024070,1500,Supplementary Table 5,111,MG1655,2023320,2024820,2024070
CHIN_111,CHIN,NC_000913.3,2035550,2037570,2036560,2020,Supplementary Table 5,112,MG1655,2035550,2037570,2036560
CHIN_112,CHIN,NC_000913.3,2052200,2053560,2052880,1360,Supplementary Table 5,113,MG1655,2052200,2053560,2052880
CHIN_113,CHIN,NC_000913.3,2056360,2057820,2057090,1460,Supplementary Table 5,114,MG1655,2056360,2057820,2057090
CHIN_114,CHIN,NC_000913.3,2102940,2104420,2103680,1480,Supplementary Table 5,115,MG1655,2102940,2104420,2103680
CHIN_115,CHIN,NC_000913.3,2102940,2105920,2104430,2980,Supplementary Table 5,116,MG1655,2102940,2105920,2104430
CHIN_116,CHIN,NC_000913.3,2102940,2106440,2104690,3500,Supplementary Table 5,117,MG1655,2102940,2106440,2104690
CHIN_117,CHIN,NC_000913.3,2103970,2107410,2105690,3440,Supplementary Table 5,118,MG1655,2103970,2107410,2105690
CHIN_118,CHIN,NC_000913.3,2105150,2107890,2106520,2740,Supplementary Table 5,119,MG1655,2105150,2107890,2106520
CHIN_119,CHIN,NC_000913.3,2105150,2108710,2106930,3560,Supplementary Table 5,120,MG1655,2105150,2108710,2106930
CHIN_120,CHIN,NC_000913.3,2106480,2109140,2107810,2660,Supplementary Table 5,121,MG1655,2106480,2109140,2107810
CHIN_121,CHIN,NC_000913.3,2108740,2110960,2109850,2220,Supplementary Table 5,122,MG1655,2108740,2110960,2109850
CHIN_122,CHIN,NC_000913.3,2114070,2115310,2114690,1240,Supplementary Table 5,123,MG1655,2114070,2115310,2114690
CHIN_123,CHIN,NC_000913.3,2128380,2130680,2129530,2300,Supplementary Table 5,124,MG1655,2128380,2130680,2129530
CHIN_124,CHIN,NC_000913.3,2167780,2170120,2168950,2340,Supplementary Table 5,125,MG1655,2167780,2170120,2168950
CHIN_125,CHIN,NC_000913.3,2169510,2173210,2171360,3700,Supplementary Table 5,126,MG1655,2169510,2173210,2171360
CHIN_126,CHIN,NC_000913.3,2172240,2175080,2173660,2840,Supplementary Table 5,127,MG1655,2172240,2175080,2173660
CHIN_127,CHIN,NC_000913.3,2178150,2180190,2179170,2040,Supplementary Table 5,128,MG1655,2178150,2180190,2179170
CHIN_128,CHIN,NC_000913.3,2187330,2188810,2188070,1480,Supplementary Table 5,129,MG1655,2187330,2188810,2188070
CHIN_129,CHIN,NC_000913.3,2188010,2189870,2188940,1860,Supplementary Table 5,130,MG1655,2188010,2189870,2188940
CHIN_130,CHIN,NC_000913.3,2187330,2192810,2190070,5480,Supplementary Table 5,131,MG1655,2187330,2192810,2190070
CHIN_131,CHIN,NC_000913.3,2190110,2192670,2191390,2560,Supplementary Table 5,132,MG1655,2190110,2192670,2191390
CHIN_132,CHIN,NC_000913.3,2233020,2234220,2233620,1200,Supplementary Table 5,133,MG1655,2233020,2234220,2233620
CHIN_133,CHIN,NC_000913.3,2237570,2239470,2238520,1900,Supplementary Table 5,134,MG1655,2237570,2239470,2238520
CHIN_134,CHIN,NC_000913.3,2254830,2256110,2255470,1280,Supplementary Table 5,135,MG1655,2254830,2256110,2255470
CHIN_135,CHIN,NC_000913.3,2257770,2259530,2258650,1760,Supplementary Table 5,136,MG1655,2257770,2259530,2258650
CHIN_136,CHIN,NC_000913.3,2343360,2344660,2344010,1300,Supplementary Table 5,137,MG1655,2343360,2344660,2344010
CHIN_137,CHIN,NC_000913.3,2383080,2385200,2384140,2120,Supplementary Table 5,138,MG1655,2383080,2385200,2384140
CHIN_138,CHIN,NC_000913.3,2385750,2387030,2386390,1280,Supplementary Table 5,139,MG1655,2385750,2387030,2386390
CHIN_139,CHIN,NC_000913.3,2385750,2388850,2387300,3100,Supplementary Table 5,140,MG1655,2385750,2388850,2387300
CHIN_140,CHIN,NC_000913.3,2454600,2456380,2455490,1780,Supplementary Table 5,141,MG1655,2454600,2456380,2455490
CHIN_141,CHIN,NC_000913.3,2462580,2464380,2463480,1800,Supplementary Table 5,142,MG1655,2462580,2464380,2463480
CHIN_142,CHIN,NC_000913.3,2480930,2483750,2482340,2820,Supplementary Table 5,143,MG1655,2480930,2483750,2482340
CHIN_143,CHIN,NC_000913.3,2480930,2486830,2483880,5900,Supplementary Table 5,144,MG1655,2480930,2486830,2483880
CHIN_144,CHIN,NC_000913.3,2482490,2486530,2484510,4040,Supplementary Table 5,145,MG1655,2482490,2486530,2484510
CHIN_145,CHIN,NC_000913.3,2485190,2488290,2486740,3100,Supplementary Table 5,146,MG1655,2485190,2488290,2486740
CHIN_146,CHIN,NC_000913.3,2488280,2490700,2489490,2420,Supplementary Table 5,147,MG1655,2488280,2490700,2489490
CHIN_147,CHIN,NC_000913.3,2491890,2493890,2492890,2000,Supplementary Table 5,148,MG1655,2491890,2493890,2492890
CHIN_148,CHIN,NC_000913.3,2628290,2630530,2629410,2240,Supplementary Table 5,149,MG1655,2628290,2630530,2629410
CHIN_149,CHIN,NC_000913.3,2653160,2654340,2653750,1180,Supplementary Table 5,150,MG1655,2653160,2654340,2653750
CHIN_150,CHIN,NC_000913.3,2699740,2700840,2700290,1100,Supplementary Table 5,151,MG1655,2699740,2700840,2700290
CHIN_151,CHIN,NC_000913.3,2757510,2759670,2758590,2160,Supplementary Table 5,152,MG1655,2757510,2759670,2758590
CHIN_152,CHIN,NC_000913.3,2757510,2761530,2759520,4020,Supplementary Table 5,153,MG1655,2757510,2761530,2759520
CHIN_153,CHIN,NC_000913.3,2773010,2775530,2774270,2520,Supplementary Table 5,154,MG1655,2773010,2775530,2774270
CHIN_154,CHIN,NC_000913.3,2781040,2785900,2783470,4860,Supplementary Table 5,155,MG1655,2781040,2785900,2783470
CHIN_155,CHIN,NC_000913.3,2784290,2786430,2785360,2140,Supplementary Table 5,156,MG1655,2784290,2786430,2785360
CHIN_156,CHIN,NC_000913.3,2784290,2789230,2786760,4940,Supplementary Table 5,157,MG1655,2784290,2789230,2786760
CHIN_157,CHIN,NC_000913.3,2787400,2788660,2788030,1260,Supplementary Table 5,158,MG1655,2787400,2788660,2788030
CHIN_158,CHIN,NC_000913.3,2797390,2798750,2798070,1360,Supplementary Table 5,159,MG1655,2797390,2798750,2798070
