position_id,structure_id,type,chrom,center,start,end,group_id,split,segments
pos_2518925_24000,OPCID_37,OPCID,NC_000913.3,2530925,2518925,2542925,group_0022,train,"[{""start"":2518925,""end"":2542925}]"
pos_2522700_24000,OPCID_38,OPCID,NC_000913.3,2534700,2522700,2546700,group_0022,train,"[{""start"":2522700,""end"":2546700}]"
pos_2531875_24000,OPCID_39,OPCID,NC_000913.3,2543875,2531875,2555875,group_0022,train,"[{""start"":2531875,""end"":2555875}]"
pos_2552415_24000,OPCID_40,OPCID,NC_000913.3,2564415,2552415,2576415,group_0022,train,"[{""start"":2552415,""end"":2576415}]"
pos_2628260_24000,OPCID_41,OPCID,NC_000913.3,2640260,2628260,2652260,group_0023,train,"[{""start"":2628260,""end"":2652260}]"
pos_2638405_24000,OPCID_42,OPCID,NC_000913.3,2650405,2638405,2662405,group_0023,train,"[{""start"":2638405,""end"":2662405}]"
pos_2650635_24000,OPCID_43,OPCID,NC_000913.3,2662635,2650635,2674635,group_0023,train,"[{""start"":2650635,""end"":2674635}]"
pos_2675760_24000,OPCID_44,OPCID,NC_000913.3,2687760,2675760,2699760,group_0024,val,"[{""start"":2675760,""end"":2699760}]"
pos_2697400_24000,OPCID_45,OPCID,NC_000913.3,2709400,2697400,2721400,group_0024,val,"[{""start"":2697400,""end"":2721400}]"
pos_2856480_24000,OPCID_46,OPCID,NC_000913.3,2868480,2856480,2880480,group_0025,train,"[{""start"":2856480,""end"":2880480}]"
pos_2907995_24000,OPCID_47,OPCID,NC_000913.3,2919995,2907995,2931995,group_0025,train,"[{""start"":2907995,""end"":2931995}]"
pos_2929115_24000,OPCID_48,OPCID,NC_000913.3,2941115,2929115,2953115,group_0025,train,"[{""start"":2929115,""end"":2953115}]"
pos_2954770_24000,OPCID_49,OPCID,NC_000913.3,2966770,2954770,2978770,group_0026,train,"[{""start"":2954770,""end"":2978770}]"
pos_3002260_24000,OPCID_50,OPCID,NC_000913.3,3014260,3002260,3026260,group_0026,train,"[{""start"":3002260,""end"":3026260}]"
pos_3029670_24000,OPCID_51,OPCID,NC_000913.3,3041670,3029670,3053670,group_0027,train,"[{""start"":3029670,""end"":3053670}]"
pos_3036625_24000,OPCID_52,OPCID,NC_000913.3,3048625,3036625,3060625,group_0027,train,"[{""start"":3036625,""end"":3060625}]"
pos_3262080_24000,OPCID_53,OPCID,NC_000913.3,3274080,3262080,3286080,group_0028,train,"[{""start"":3262080,""end"":3286080}]"
pos_3368450_24000,OPCID_54,OPCID,NC_000913.3,3380450,3368450,3392450,group_0029,train,"[{""start"":3368450,""end"":3392450}]"
pos_3432155_24000,OPCID_55,OPCID,NC_000913.3,3444155,3432155,3456155,group_0030,train,"[{""start"":3432155,""end"":3456155}]"
pos_3538190_24000,OPCID_56,OPCID,NC_000913.3,3550190,3538190,3562190,group_0031,train,"[{""start"":3538190,""end"":3562190}]"
pos_3542600_24000,OPCID_57,OPCID,NC_000913.3,3554600,3542600,3566600,group_0031,train,"[{""start"":3542600,""end"":3566600}]"
pos_3628905_24000,OPCID_58,OPCID,NC_000913.3,3640905,3628905,3652905,group_0032,train,"[{""start"":3628905,""end"":3652905}]"
pos_3725655_24000,OPCID_59,OPCID,NC_000913.3,3737655,3725655,3749655,group_0033,train,"[{""start"":3725655,""end"":3749655}]"
pos_3854740_24000,OPCID_60,OPCID,NC_000913.3,3866740,3854740,3878740,group_0034,test,"[{""start"":3854740,""end"":3878740}]"
pos_3907190_24000,OPCID_61,OPCID,NC_000913.3,3919190,3907190,3931190,group_0035,val,"[{""start"":3907190,""end"":3931190}]"
pos_3982520_24000,OPCID_62,OPCID,NC_000913.3,3994520,3982520,4006520,group_0036,train,"[{""start"":3982520,""end"":4006520}]"
pos_4009825_24000,OPCID_63,OPCID,NC_000913.3,4021825,4009825,4033825,group_0037,train,"[{""start"":4009825,""end"":4033825}]"
pos_4105900_24000,OPCID_64,OPCID,NC_000913.3,4117900,4105900,4129900,group_0038,train,"[{""start"":4105900,""end"":4129900}]"
pos_4244135_24000,OPCID_65,OPCID,NC_000913.3,4256135,4244135,4268135,group_0039,train,"[{""start"":4244135,""end"":4268135}]"
pos_4267295_24000,OPCID_66,OPCID,NC_000913.3,4279295,4267295,4291295,group_0039,train,"[{""start"":4267295,""end"":4291295}]"
pos_4472420_24000,OPCID_67,OPCID,NC_000913.3,4484420,4472420,4496420,group_0040,train,"[{""start"":4472420,""end"":4496420}]"
pos_4573100_24000,OPCID_68,OPCID,NC_000913.3,4585100,4573100,4597100,group_0040,train,"[{""start"":4573100,""end"":4597100}]"
pos_0046840_24000,CHIN_1,CHIN,NC_000913.3,58840,46840,70840,group_0001,test,"[{""start"":46840,""end"":70840}]"
pos_0072660_24000,CHIN_2,CHIN,NC_000913.3,84660,72660,96660,group_0002,train,"[{""start"":72660,""end"":96660}]"
pos_0139330_24000,CHIN_3,CHIN,NC_000913.3,151330,139330,163330,group_0003,test,"[{""start"":139330,""end"":163330}]"
pos_0139800_24000,CHIN_4,CHIN,NC_000913.3,151800,139800,163800,group_0003,test,"[{""start"":139800,""end"":163800}]"
pos_0140340_24000,CHIN_5,CHIN,NC_000913.3,152340,140340,164340,group_0003,test,"[{""start"":140340,""end"":164340}]"
pos_0142620_24000,CHIN_6,CHIN,NC_000913.3,154620,142620,166620,group_0003,test,"[{""start"":142620,""end"":166620}]"
pos_0144730_24000,CHIN_7,CHIN,NC_000913.3,156730,144730,168730,group_0003,test,"[{""start"":144730,""end"":168730}]"
pos_0168380_24000,CHIN_8,CHIN,NC_000913.3,180380,168380,192380,group_0003,test,"[{""start"":168380,""end"":192380}]"
pos_0225970_24000,CHIN_9,CHIN,NC_000913.3,237970,225970,249970,group_0004,train,"[{""start"":225970,""end"":249970}]"
pos_0241060_24000,CHIN_10,CHIN,NC_000913.3,253060,241060,265060,group_0004,train,"[{""start"":241060,""end"":265060}]"
pos_0244400_24000,CHIN_11,CHIN,NC_000913.3,256400,244400,268400,group_0004,train,"[{""start"":244400,""end"":268400}]"
pos_0247590_24000,CHIN_12,CHIN,NC_000913.3,259590,247590,271590,group_0004,train,"[{""start"":247590,""end"":271590}]"
pos_0250940_24000,CHIN_13,CHIN,NC_000913.3,262940,250940,274940,group_0004,train,"[{""start"":250940,""end"":274940}]"
pos_0281940_24000,CHIN_14,CHIN,NC_000913.3,293940,281940,305940,group_0005,train,"[{""start"":281940,""end"":305940}]"
pos_0283670_24000,CHIN_15,CHIN,NC_000913.3,295670,283670,307670,group_0005,train,"[{""start"":283670,""end"":307670}]"
pos_0285230_24000,CHIN_16,CHIN,NC_000913.3,297230,285230,309230,group_0005,train,"[{""start"":285230,""end"":309230}]"
pos_0291370_24000,CHIN_17,CHIN,NC_000913.3,303370,291370,315370,group_0005,train,"[{""start"":291370,""end"":315370}]"
pos_0301510_24000,CHIN_18,CHIN,NC_000913.3,313510,301510,325510,group_0005,train,"[{""start"":301510,""end"":325510}]"
pos_0307130_24000,CHIN_19,CHIN,NC_000913.3,319130,307130,331130,group_0005,train,"[{""start"":307130,""end"":331130}]"
pos_0324060_24000,CHIN_20,CHIN,NC_000913.3,336060,324060,348060,group_0005,train,"[{""start"":324060,""end"":348060}]"
pos_0332510_24000,CHIN_21,CHIN,NC_000913.3,344510,332510,356510,group_0005,train,"[{""start"":332510,""end"":356510}]"
pos_0420280_24000,CHIN_22,CHIN,NC_000913.3,432280,420280,444280,group_0006,train,"[{""start"":420280,""end"":444280}]"
pos_0468640_24000,CHIN_23,CHIN,NC_000913.3,480640,468640,492640,group_0041,train,"[{""start"":468640,""end"":492640}]"
pos_0504310_24000,CHIN_24,CHIN,NC_000913.3,516310,504310,528310,group_0042,val,"[{""start"":504310,""end"":528310}]"
pos_0516090_24000,CHIN_25,CHIN,NC_000913.3,528090,516090,540090,group_0042,val,"[{""start"":516090,""end"":540090}]"
pos_0525030_24000,CHIN_26,CHIN,NC_000913.3,537030,525030,549030,group_0042,val,"[{""start"":525030,""end"":549030}]"
pos_0526330_24000,CHIN_27,CHIN,NC_000913.3,538330,526330,550330,group_0042,val,"[{""start"":526330,""end"":550330}]"
pos_0533940_24000,CHIN_28,CHIN,NC_000913.3,545940,533940,557940,group_0042,val,"[{""start"":533940,""end"":557940}]"
pos_0547250_24000,CHIN_29,CHIN,NC_000913.3,559250,547250,571250,group_0042,val,"[{""start"":547250,""end"":571250}]"
pos_0547700_24000,CHIN_30,CHIN,NC_000913.3,559700,547700,571700,group_0042,val,"[{""start"":547700,""end"":571700}]"
pos_0551390_24000,CHIN_31,CHIN,NC_000913.3,563390,551390,575390,group_0042,val,"[{""start"":551390,""end"":575390}]"
pos_0554470_24000,CHIN_32,CHIN,NC_000913.3,566470,554470,578470,group_0042,val,"[{""start"":554470,""end"":578470}]"
pos_0557490_24000,CHIN_33,CHIN,NC_000913.3,569490,557490,581490,group_0042,val,"[{""start"":557490,""end"":581490}]"
pos_0558950_24000,CHIN_34,CHIN,NC_000913.3,570950,558950,582950,group_0042,val,"[{""start"":558950,""end"":582950}]"
pos_0559570_24000,CHIN_35,CHIN,NC_000913.3,571570,559570,583570,group_0042,val,"[{""start"":559570,""end"":583570}]"
pos_0572340_24000,CHIN_36,CHIN,NC_000913.3,584340,572340,596340,group_0042,val,"[{""start"":572340,""end"":596340}]"
pos_0606620_24000,CHIN_37,CHIN,NC_000913.3,618620,606620,630620,group_0007,test,"[{""start"":606620,""end"":630620}]"
pos_0625220_24000,CHIN_38,CHIN,NC_000913.3,637220,625220,649220,group_0007,test,"[{""start"":625220,""end"":649220}]"
pos_0644290_24000,CHIN_39,CHIN,NC_000913.3,656290,644290,668290,group_0007,test,"[{""start"":644290,""end"":668290}]"
pos_0649540_24000,CHIN_40,CHIN,NC_000913.3,661540,649540,673540,group_0007,test,"[{""start"":649540,""end"":673540}]"
pos_0664920_24000,CHIN_41,CHIN,NC_000913.3,676920,664920,688920,group_0007,test,"[{""start"":664920,""end"":688920}]"
pos_0666270_24000,CHIN_42,CHIN,NC_000913.3,678270,666270,690270,group_0007,test,"[{""start"":666270,""end"":690270}]"
pos_0704370_24000,CHIN_43,CHIN,NC_000913.3,716370,704370,728370,group_0008,val,"[{""start"":704370,""end"":728370}]"
pos_0708720_24000,CHIN_44,CHIN,NC_000913.3,720720,708720,732720,group_0008,val,"[{""start"":708720,""end"":732720}]"
pos_0722700_24000,CHIN_45,CHIN,NC_000913.3,734700,722700,746700,group_0008,val,"[{""start"":722700,""end"":746700}]"
pos_0725380_24000,CHIN_46,CHIN,NC_000913.3,737380,725380,749380,group_0008,val,"[{""start"":725380,""end"":749380}]"
pos_0736820_24000,CHIN_47,CHIN,NC_000913.3,748820,736820,760820,group_0008,val,"[{""start"":736820,""end"":760820}]"
pos_0740470_24000,CHIN_48,CHIN,NC_000913.3,752470,740470,764470,group_0008,val,"[{""start"":740470,""end"":764470}]"
pos_0789100_24000,CHIN_49,CHIN,NC_000913.3,801100,789100,813100,group_0043,train,"[{""start"":789100,""end"":813100}]"
pos_0809020_24000,CHIN_50,CHIN,NC_000913.3,821020,809020,833020,group_0043,train,"[{""start"":809020,""end"":833020}]"
pos_0862680_24000,CHIN_51,CHIN,NC_000913.3,874680,862680,886680,group_0044,train,"[{""start"":862680,""end"":886680}]"
pos_0986190_24000,CHIN_52,CHIN,NC_000913.3,998190,986190,1010190,group_0045,train,"[{""start"":986190,""end"":1010190}]"
pos_0987020_24000,CHIN_53,CHIN,NC_000913.3,999020,987020,1011020,group_0045,train,"[{""start"":987020,""end"":1011020}]"
pos_1038110_24000,CHIN_54,CHIN,NC_000913.3,1050110,1038110,1062110,group_0010,train,"[{""start"":1038110,""end"":1062110}]"
pos_1039660_24000,CHIN_55,CHIN,NC_000913.3,1051660,1039660,1063660,group_0010,train,"[{""start"":1039660,""end"":1063660}]"
pos_1052940_24000,CHIN_56,CHIN,NC_000913.3,1064940,1052940,1076940,group_0010,train,"[{""start"":1052940,""end"":1076940}]"
pos_1075640_24000,CHIN_57,CHIN,NC_000913.3,1087640,1075640,1099640,group_0010,train,"[{""start"":1075640,""end"":1099640}]"
pos_1076450_24000,CHIN_58,CHIN,NC_000913.3,1088450,1076450,1100450,group_0010,train,"[{""start"":1076450,""end"":1100450}]"
pos_1078080_24000,CHIN_59,CHIN,NC_000913.3,1090080,1078080,1102080,group_0010,train,"[{""start"":1078080,""end"":1102080}]"
pos_1080530_24000,CHIN_60,CHIN,NC_000913.3,1092530,1080530,1104530,group_0010,train,"[{""start"":1080530,""end"":1104530}]"
pos_1082720_24000,CHIN_61,CHIN,NC_000913.3,1094720,1082720,1106720,group_0010,train,"[{""start"":1082720,""end"":1106720}]"
pos_1090680_24000,CHIN_62,CHIN,NC_000913.3,1102680,1090680,1114680,group_0010,train,"[{""start"":1090680,""end"":1114680}]"
pos_1092700_24000,CHIN_63,CHIN,NC_000913.3,1104700,1092700,1116700,group_0010,train,"[{""start"":1092700,""end"":1116700}]"
pos_1106630_24000,CHIN_64,CHIN,NC_000913.3,1118630,1106630,1130630,group_0010,train,"[{""start"":1106630,""end"":1130630}]"
pos_1108190_24000,CHIN_65,CHIN,NC_000913.3,1120190,1108190,1132190,group_0010,train,"[{""start"":1108190,""end"":1132190}]"
pos_1169130_24000,CHIN_66,CHIN,NC_000913.3,1181130,1169130,1193130,group_0011,train,"[{""start"":1169130,""end"":1193130}]"
pos_1186500_24000,CHIN_67,CHIN,NC_000913.3,1198500,1186500,1210500,group_0011,train,"[{""start"":1186500,""end"":1210500}]"
pos_1186940_24000,CHIN_68,CHIN,NC_000913.3,1198940,1186940,1210940,group_0011,train,"[{""start"":1186940,""end"":1210940}]"
pos_1190600_24000,CHIN_69,CHIN,NC_000913.3,1202600,1190600,1214600,group_0011,train,"[{""start"":1190600,""end"":1214600}]"
pos_1199390_24000,CHIN_70,CHIN,NC_000913.3,1211390,1199390,1223390,group_0011,train,"[{""start"":1199390,""end"":1223390}]"
pos_1203720_24000,CHIN_71,CHIN,NC_000913.3,1215720,1203720,1227720,group_0011,train,"[{""start"":1203720,""end"":1227720}]"
pos_1205410_24000,CHIN_72,CHIN,NC_000913.3,1217410,1205410,1229410,group_0011,train,"[{""start"":1205410,""end"":1229410}]"
pos_1206490_24000,CHIN_73,CHIN,NC_000913.3,1218490,1206490,1230490,group_0011,train,"[{""start"":1206490,""end"":1230490}]"
pos_1207170_24000,CHIN_74,CHIN,NC_000913.3,1219170,1207170,1231170,group_0011,train,"[{""start"":1207170,""end"":1231170}]"
pos_1208140_24000,CHIN_75,CHIN,NC_000913.3,1220140,1208140,1232140,group_0011,train,"[{""start"":1208140,""end"":1232140}]"
pos_1217860_24000,CHIN_76,CHIN,NC_000913.3,1229860,1217860,1241860,group_0011,train,"[{""start"":1217860,""end"":1241860}]"
pos_1303530_24000,CHIN_77,CHIN,NC_000913.3,1315530,1303530,1327530,group_0012,val,"[{""start"":1303530,""end"":1327530}]"
pos_1359090_24000,CHIN_78,CHIN,NC_000913.3,1371090,1359090,1383090,group_0013,train,"[{""start"":1359090,""end"":1383090}]"
pos_1370580_24000,CHIN_79,CHIN,NC_000913.3,1382580,1370580,1394580,group_0013,train,"[{""start"":1370580,""end"":1394580}]"
pos_1383060_24000,CHIN_80,CHIN,NC_000913.3,1395060,1383060,1407060,group_0013,train,"[{""start"":1383060,""end"":1407060}]"
pos_1399910_24000,CHIN_81,CHIN,NC_000913.3,1411910,1399910,1423910,group_0013,train,"[{""start"":1399910,""end"":1423910}]"
pos_1401340_24000,CHIN_82,CHIN,NC_000913.3,1413340,1401340,1425340,group_0013,train,"[{""start"":1401340,""end"":1425340}]"
pos_1406360_24000,CHIN_83,CHIN,NC_000913.3,1418360,1406360,1430360,group_0013,train,"[{""start"":1406360,""end"":1430360}]"
pos_1408000_24000,CHIN_84,CHIN,NC_000913.3,1420000,1408000,1432000,group_0013,train,"[{""start"":1408000,""end"":1432000}]"
pos_1464340_24000,CHIN_85,CHIN,NC_000913.3,1476340,1464340,1488340,group_0046,train,"[{""start"":1464340,""end"":1488340}]"
pos_1465500_24000,CHIN_86,CHIN,NC_000913.3,1477500,1465500,1489500,group_0046,train,"[{""start"":1465500,""end"":1489500}]"
pos_1508650_24000,CHIN_87,CHIN,NC_000913.3,1520650,1508650,1532650,group_0014,test,"[{""start"":1508650,""end"":1532650}]"
pos_1516670_24000,CHIN_88,CHIN,NC_000913.3,1528670,1516670,1540670,group_0014,test,"[{""start"":1516670,""end"":1540670}]"
pos_1519080_24000,CHIN_89,CHIN,NC_000913.3,1531080,1519080,1543080,group_0014,test,"[{""start"":1519080,""end"":1543080}]"
pos_1554940_24000,CHIN_90,CHIN,NC_000913.3,1566940,1554940,1578940,group_0014,test,"[{""start"":1554940,""end"":1578940}]"
pos_1564120_24000,CHIN_91,CHIN,NC_000913.3,1576120,1564120,1588120,group_0014,test,"[{""start"":1564120,""end"":1588120}]"
pos_1567440_24000,CHIN_92,CHIN,NC_000913.3,1579440,1567440,1591440,group_0014,test,"[{""start"":1567440,""end"":1591440}]"
pos_1570740_24000,CHIN_93,CHIN,NC_000913.3,1582740,1570740,1594740,group_0014,test,"[{""start"":1570740,""end"":1594740}]"
pos_1576270_24000,CHIN_94,CHIN,NC_000913.3,1588270,1576270,1600270,group_0014,test,"[{""start"":1576270,""end"":1600270}]"
pos_1585450_24000,CHIN_95,CHIN,NC_000913.3,1597450,1585450,1609450,group_0014,test,"[{""start"":1585450,""end"":1609450}]"
pos_1604220_24000,CHIN_96,CHIN,NC_000913.3,1616220,1604220,1628220,group_0014,test,"[{""start"":1604220,""end"":1628220}]"
pos_1619780_24000,CHIN_97,CHIN,NC_000913.3,1631780,1619780,1643780,group_0014,test,"[{""start"":1619780,""end"":1643780}]"
pos_1626030_24000,CHIN_98,CHIN,NC_000913.3,1638030,1626030,1650030,group_0014,test,"[{""start"":1626030,""end"":1650030}]"
pos_1636130_24000,CHIN_99,CHIN,NC_000913.3,1648130,1636130,1660130,group_0014,test,"[{""start"":1636130,""end"":1660130}]"
pos_1742330_24000,CHIN_100,CHIN,NC_000913.3,1754330,1742330,1766330,group_0016,train,"[{""start"":1742330,""end"":1766330}]"
pos_1760920_24000,CHIN_101,CHIN,NC_000913.3,1772920,1760920,1784920,group_0016,train,"[{""start"":1760920,""end"":1784920}]"
pos_1764220_24000,CHIN_102,CHIN,NC_000913.3,1776220,1764220,1788220,group_0016,train,"[{""start"":1764220,""end"":1788220}]"
pos_1791960_24000,CHIN_103,CHIN,NC_000913.3,1803960,1791960,1815960,group_0017,test,"[{""start"":1791960,""end"":1815960}]"
pos_1832500_24000,CHIN_104,CHIN,NC_000913.3,1844500,1832500,1856500,group_0047,train,"[{""start"":1832500,""end"":1856500}]"
pos_1841600_24000,CHIN_105,CHIN,NC_000913.3,1853600,1841600,1865600,group_0047,train,"[{""start"":1841600,""end"":1865600}]"
pos_1845300_24000,CHIN_106,CHIN,NC_000913.3,1857300,1845300,1869300,group_0047,train,"[{""start"":1845300,""end"":1869300}]"
pos_1858970_24000,CHIN_107,CHIN,NC_000913.3,1870970,1858970,1882970,group_0047,train,"[{""start"":1858970,""end"":1882970}]"
pos_1859900_24000,CHIN_108,CHIN,NC_000913.3,1871900,1859900,1883900,group_0047,train,"[{""start"":1859900,""end"":1883900}]"
pos_1999690_24000,CHIN_109,CHIN,NC_000913.3,2011690,1999690,2023690,group_0048,test,"[{""start"":1999690,""end"":2023690}]"
pos_2012070_24000,CHIN_110,CHIN,NC_000913.3,2024070,2012070,2036070,group_0048,test,"[{""start"":2012070,""end"":2036070}]"
pos_2024560_24000,CHIN_111,CHIN,NC_000913.3,2036560,2024560,2048560,group_0048,test,"[{""start"":2024560,""end"":2048560}]"
pos_2040880_24000,CHIN_112,CHIN,NC_000913.3,2052880,2040880,2064880,group_0048,test,"[{""start"":2040880,""end"":2064880}]"
pos_2045090_24000,CHIN_113,CHIN,NC_000913.3,2057090,2045090,2069090,group_0048,test,"[{""start"":2045090,""end"":2069090}]"
pos_2091680_24000,CHIN_114,CHIN,NC_000913.3,2103680,2091680,2115680,group_0018,val,"[{""start"":2091680,""end"":2115680}]"
pos_2092430_24000,CHIN_115,CHIN,NC_000913.3,2104430,2092430,2116430,group_0018,val,"[{""start"":2092430,""end"":2116430}]"
pos_2092690_24000,CHIN_116,CHIN,NC_000913.3,2104690,2092690,2116690,group_0018,val,"[{""start"":2092690,""end"":2116690}]"
pos_2093690_24000,CHIN_117,CHIN,NC_000913.3,2105690,2093690,2117690,group_0018,val,"[{""start"":2093690,""end"":2117690}]"
pos_2094520_24000,CHIN_118,CHIN,NC_000913.3,2106520,2094520,2118520,group_0018,val,"[{""start"":2094520,""end"":2118520}]"
pos_2094930_24000,CHIN_119,CHIN,NC_000913.3,2106930,2094930,2118930,group_0018,val,"[{""start"":2094930,""end"":2118930}]"
pos_2095810_24000,CHIN_120,CHIN,NC_000913.3,2107810,2095810,2119810,group_0018,val,"[{""start"":2095810,""end"":2119810}]"
pos_2097850_24000,CHIN_121,CHIN,NC_000913.3,2109850,2097850,2121850,group_0018,val,"[{""start"":2097850,""end"":2121850}]"
pos_2102690_24000,CHIN_122,CHIN,NC_000913.3,2114690,2102690,2126690,group_0018,val,"[{""start"":2102690,""end"":2126690}]"
pos_2117530_24000,CHIN_123,CHIN,NC_000913.3,2129530,2117530,2141530,group_0018,val,"[{""start"":2117530,""end"":2141530}]"
pos_2156950_24000,CHIN_124,CHIN,NC_000913.3,2168950,2156950,2180950,group_0019,train,"[{""start"":2156950,""end"":2180950}]"
pos_2159360_24000,CHIN_125,CHIN,NC_000913.3,2171360,2159360,2183360,group_0019,train,"[{""start"":2159360,""end"":2183360}]"
pos_2161660_24000,CHIN_126,CHIN,NC_000913.3,2173660,2161660,2185660,group_0019,train,"[{""start"":2161660,""end"":2185660}]"
pos_2167170_24000,CHIN_127,CHIN,NC_000913.3,2179170,2167170,2191170,group_0019,train,"[{""start"":2167170,""end"":2191170}]"
pos_2176070_24000,CHIN_128,CHIN,NC_000913.3,2188070,2176070,2200070,group_0019,train,"[{""start"":2176070,""end"":2200070}]"
pos_2176940_24000,CHIN_129,CHIN,NC_000913.3,2188940,2176940,2200940,group_0019,train,"[{""start"":2176940,""end"":2200940}]"
pos_2178070_24000,CHIN_130,CHIN,NC_000913.3,2190070,2178070,2202070,group_0019,train,"[{""start"":2178070,""end"":2202070}]"
pos_2179390_24000,CHIN_131,CHIN,NC_000913.3,2191390,2179390,2203390,group_0019,train,"[{""start"":2179390,""end"":2203390}]"
pos_2221620_24000,CHIN_132,CHIN,NC_000913.3,2233620,2221620,2245620,group_0019,train,"[{""start"":2221620,""end"":2245620}]"
pos_2226520_24000,CHIN_133,CHIN,NC_000913.3,2238520,2226520,2250520,group_0019,train,"[{""start"":2226520,""end"":2250520}]"
